"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2","colour"
"hessus_helius_eobanus_viaf_71412338","individual","male","Helius EOBANUS Hessus","halgehausen_DE_gid_2911550","Halgehausen bei Frankenberg/Hessen",1488,"1488-01-06",0,1488,"1488-01-06","marburg_an_der_lahn_DE_gid_2873759","Marburg/Lahn",1540,"1540-10-04",0,1540,"#fdb863"
"hondt_jan_de_viaf_19940051","individual","male","Jan de HONDT","sint_pauwels_BE_gid_2786570","Sint-Pauwels-Waas, in East Flanders",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",1571,"1571-12-24",0,1571,"#525252"
"hune_martin_viaf_unknown","individual","male","Martin HUNE","gittelde_DE_gid_2920268","Gittelde",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"#525252"
"johann_der_beständige_elector_of_saxony_viaf_37263134","individual","male","John, elector of SAXONY","meissen_DE_gid_2872155","Meissen",1468,"1469-06-30",0,1468,"1469-06-30","schweinitz_DE_gid_2834488","Schweinitz",1532,"1532-08-18",0,1532,"#525252"
"klett_lukas_viaf_unknown","individual","male","Lukas KLETT","rouffach_FR_gid_2982636","Rouffach",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",1539,"1539-01-01",1,NA,"#525252"
"krzycki_andrzej_viaf_3542950","individual","male","Andrzej KRZYCKI","krzycko_małe_PL_gid_3094471","Unknown",1482,"1482-01-01",1,1482,"1482-12-31","kraków_PL_gid_3094802","Cracow",1537,"1537-05-10",0,1537,"#525252"
"longland_john_viaf_65200907","individual","male","John LONGLAND","henley_on_thames_GB_gid_2647101","Henley-on-Thames",1473,"1473-01-01",1,1473,"1473-12-31","unknown_location_XX_gid_unknown","Unknown",1547,"1547-05-07",0,1547,"#525252"
"luther_martin_viaf_14773105","individual","male","Martin LUTHER","eisleben_lutherstadt_DE_gid_7284571","Eisleben",1483,"1483-01-10",0,1483,"1483-01-10","eisleben_lutherstadt_DE_gid_7284571","Eisleben",1546,"1546-02-18",0,1546,"#fdb863"
"maldonado_juan_viaf_64018172","individual","male","Juan MALDONADO","bonilla_ES_gid_3127842","Bonilla (Cuenca)",1485,"1485-01-01",1,1485,"1485-12-31","unknown_location_XX_gid_unknown","Unknown",1554,"1554-01-01",1,1554,"#525252"
"melanchthon_philipp_viaf_76319978","individual","male","Philippus MELANCHTHON","bretten_DE_gid_2944200","Bretten",1497,"1497-02-16",0,1497,"1497-02-16","wittenberg_DE_gid_7303020","Wittenberg",1560,"1560-04-19",0,1560,"#fdb863"
"more_thomas_sir_saint_viaf_29541174","individual","male","Thomas MORE","london_GB_gid_2643743","London",1477,"1477-02-06",1,1478,"1478-02-07","london_GB_gid_2643743","London",1535,"1535-07-06",0,1535,"#525252"
"nausea_friedrich_viaf_248203874","individual","male","Fridericus NAUSEA","waischenfeld_DE_gid_2815297","Waischenfeld",1496,"1496-01-01",1,1496,"1496-12-31","trento_IT_gid_3165243","Trent",1552,"1552-02-06",0,1552,"#fdb863"
"nicola_felipe_viaf_unknown","individual","male","Felipe NICOLA","unknown_location_XX_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"#525252"
"oecolampadius_johann_viaf_56634092","individual","male","Johannes OECOLAMPADIUS","weinsberg_DE_gid_2812158","Weinsberg",1482,"1482-01-01",1,1482,"1482-12-31","basel_CH_gid_2661604","Basel",1531,"1531-11-22",1,1531,"#fdb863"
"oem_van_wijngaarden_viaf_unknown","individual","male","Jan OEM van Wijngaarden","unknown_location_in_the_netherlands_NL_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",1567,"1567-05-04",0,1567,"#525252"
"paris_faculty_of_theology_of_viaf_not_applicable","corporate body","","[Faculty of Theology at Paris","unknown_location_XX_gid_unknown","",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","",NA,"0000-00-00",1,NA,"#525252"
"paris_parliament_of_viaf_not_applicable","corporate body","","[Parlement of Paris","unknown_location_XX_gid_unknown","",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","",NA,"0000-00-00",1,NA,"#525252"
"pellicanus_konrad_viaf_41862976","individual","male","Conradus PELLICANUS","rouffach_FR_gid_2982636","Rufach/Oberelsass",1478,"1478-01-08",0,1478,"1478-01-08","zürich_CH_gid_2657896","Zürich",1556,"1556-04-06",0,1556,"#fdb863"
"piso_jacob_viaf_46572011","individual","male","Jacobus PISO","mediaş_RO_gid_673634","Medgyes, in Transylvania",NA,"0000-00-00",1,NA,"0000-00-00","bratislava_SK_gid_3060972","Bratislava",1527,"1527-03-01",1,1527,"#525252"
"pistoris_simon_viaf_45210172","individual","male","Simon PISTORIS","leipzig_DE_gid_2879139","Leipzig",1489,"1489-10-28",0,1489,"1489-10-28","seußlitz_DE_gid_2832861","Seusslitz, near Meissen",1562,"1562-12-03",0,1562,"#525252"
"pistor_matthias_viaf_unknown","individual","male","Matthias PISTOR","unknown_location_in_germany_DE_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"#525252"
"pirckheimer_willibald_viaf_27173507","individual","male","Willibald PIRCKHEIMER","eichstätt_DE_gid_2932069","Eichstätt",1470,"1470-12-05",0,1470,"1470-12-05","nürnberg_DE_gid_2861650","Nürnberg",1530,"1530-12-22",0,1530,"#5e3c99"
"pole_reginald_viaf_37029945","individual","male","Reginald POLE","stourton castle_GB_gid_6287235","Stourton Castle, Staffordshire",1500,"1500-01-01",1,1500,"1500-12-31","london_GB_gid_2643743","London",1558,"1558-11-17",0,1558,"#525252"
"rhegius_urbanus_viaf_17232588","individual","male","Urbanus RHEGIUS","langenargen_DE_gid_2881263","Langenargen",1489,"1489-05-01",1,1489,"1489-05-31","celle_DE_gid_2940213","Celle",1541,"1541-05-23",0,1541,"#fdb863"
"schetz_erasmus_viaf_101339450","individual","male","Erasmus SCHETS","maastricht_NL_gid_2751283","Maastricht",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",1550,"1550-05-13",0,1550,"#525252"
"schweiß_alexander_von_viaf_89934990","individual","male","Alexander SCHWEISS","herborn_DE_gid_2906199","Herborn, in Hesse",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",1533,"1533-01-01",1,1536,"#fdb863"
"sobius_jakob_viaf_49520543","individual","male","Jacobus SOBIUS","köln_DE_gid_2886242","Cologne",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",NA,"0000-00-00",1,1528,"#525252"
"swiss_confedercy_viaf_not_applicable","corporate body","","[Swiss Confederation","unknown_location_XX_gid_unknown","",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","",NA,"0000-00-00",1,NA,"#525252"
"szydłowiecki_krzysztof_viaf_18320094","individual","male","Krzysztof SZYDŁOWIECKI","szydłowiec_PL_gid_757178","Szydłowiec",1467,"1467-01-01",1,1467,"1467-12-31","kraków_PL_gid_3094802","Cracow",1532,"1532-11-30",0,1532,"#525252"
"torresani_gian_francesco_viaf_72229342","individual","male","Gianfrancesco TORRESANI","venice_IT_gid_3164603","Venice",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",1558,"1558-01-01",1,NA,"#525252"
