"Id"	"geonames_id"	"locations_name_modern"	"locations_name_in_edition"	"locations_modern_state"	"locations_modern_province"	"locations_lat"	"locations_lng"	"locations_ll_combined"	"locations_further_annotation"
"schloss_schwarzenberg_bei_scheinfeld_DE_gid_unknown"	"unknown"	"Schloss Schwarzenberg (Scheinfeld)"	"Schloß Schwarzenberg b. Scheinfeld"	"Germany"	"Bavaria"	"49.672"	"10.47555"	"49.672, 10.47555"	"LL for Schloss Schwarzenberg (Scheinfeld) (GeoHack)"
"schloss_schwarzenburg_gid_unknown"	"unknown"	"Schloß Schwarzenburg"	"Schloß Schwarzenburg ober Rötz i. d. Obpf"	"Germany"	"Bavaria"	"49.35412"	"12.49065"	"49.35412, 12.49065"	"LL for the HILL Schloss Berg GID 2838326"
"schwabach_DE_gid_2835537"	"2835537"	"Schwabach"	"Schwabach"	"Germany"	"Bavaria"	"49.33047"	"11.02346"	"49.33047, 11.02346"	NULL
"schwäbisch_hall_DE_gid_2835481"	"2835481"	"Schwäbisch Hall"	"Schwäbisch Hall"	"Germany"	"Baden-Württemberg"	"49.11127"	"9.73908"	"49.11127, 9.73908"	NULL
"sélestat_FR_gid_2975233"	"2975233"	"Sélestat"	"Schlettstadt"	"France"	"Alsace-Champagne-Ardenne-Lorraine"	"48.26667"	"7.45"	"48.26667, 7.45"	NULL
"sevilla_ES_gid_2510911"	"2510911"	"Sevilla"	"Sevilla"	"Spain"	"Andalusia"	"37.38283"	"-5.97317"	"37.38283, -5.97317"	NULL
"siena_IT_gid_3166548"	"3166548"	"Siena"	"Siena"	"Italy"	"Tuscany"	"43.31822"	"11.33064"	"43.31822, 11.33064"	NULL
"solothurn_CH_gid_2658564"	"2658564"	"Solothurn"	"Solothurn"	"Switzerland"	"Solothurn"	"47.20791"	"7.53714"	"47.20791, 7.53714"	NULL
"strasbourg_FR_gid_2973783"	"2973783"	"Strasbourg"	"Straßburg // Strasbourg"	"France"	"Alsace-Champagne-Ardenne-Lorraine"	"48.58342"	"7.74296"	"48.58342, 7.74296"	NULL
"stuttgart_DE_gid_2825297"	"2825297"	"Stuttgart"	"Stuttgart"	"Germany"	"Baden-Württemberg"	"48.78232"	"9.17702"	"48.78232, 9.17702"	NULL
