"recipient_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"36aef8af-dd7c-40b1-8175-74f63fcca993","John SMITH [COE] // John Smith [CWE] // Smith, John [ALLEN]","1518-10-25","1518-10-25"
"372f315c-1f66-4576-8a1c-4538416a3629","Helias MARCAEUS [COE] // Helias Marcaeus [CWE] // Marcaeus, Helias [ALLEN]","1518-01-01","1524-07-30"
"375a80f5-20d7-46ab-ab78-46a7bd7f52cb","Euricius CORDUS [COE] // Euricius Cordus [CWE] // Cordus, Euricius [ALLEN]","1519-04-17","1519-04-17"
"37d9af11-8411-4883-ad92-7daa91d95992","Adrianus a RIVULO [COE] // Adrianus a Rivulo [CWE] // Rivulo, Adrianus A [Rivo] [ALLEN]","1528-03-21","1528-03-21"
"3870c34b-fa11-4cb3-966a-0ff24dc932aa","NICHOLAS OF LUXEMBOURG [COE] // Nicholas of Luxemburg [CWE] // Luxembourg, Nicholas of [ALLEN]","1520-02-01","1520-02-01"
"38cbcdb3-2638-4c91-9a66-af3166d5a711","[Parlement of Paris] [COE] // The Parlement of Paris [CWE] // Paris Parliament [ALLEN]","1526-06-14","1527-11-14"
"3bbb6da6-988f-4757-aab2-9c74e347451e","Georg von KOMERSTADT [COE] // Georg von Komerstadt [CWE] // Commerstadt, George [ALLEN]","1531-06-07","1531-06-07"
"3cd7810f-4b4f-4d4f-829e-a1a44ca4764c","Erasmius FROBEN [COE] // Johannes Erasmius Froben [CWE] // Froben, John Erasmius [ALLEN]","1522-02-28","1529-11-02"
"3edbb9ff-e345-4595-a1ff-13000da8f16b","John (III) More [COE] // John More [CWE] // More, John [ALLEN]","1523-12-01","1531-02-27"
"44797170-64d3-4587-8ddf-2c96d59d9787","Johann von METZENHAUSEN [COE] // Johann von Metzenhausen [CWE] // Metzenhausen, Johann III of [ALLEN]","1534-09-27","1534-09-27"
"48394f6b-7e9d-4895-b2a6-ebe14545c5ca","CATHERINE of Aragon [COE] // Catherine of Aragon [CWE] // Katherine of Aragon, Queen of England [ALLEN]","1526-07-15","1528-03-01"
"4bef5c7d-baf1-4c71-95e1-3bd48ba79660","Johannes Sylvius EGRANUS [COE] // Johannes Sylvius [CWE] // Egranus, Johannes Sylvius [ALLEN]","1523-07-01","1523-07-01"
"4c76aabc-f34e-41e8-9910-f44048ad9ed2","Adolph of BURGUNDY [COE] // Adolph of Burgundy, heer van Veere [CWE] // Veere, Adolphus, Lord of [ALLEN]","1499-03-01","1512-09-01"
"4d1cc198-928c-46e6-8d8e-ad240639f5c3","Antoine d'ALBON [COE] // Antoine d'Albon [CWE] // Dalban, Antony [ALLEN]","1530-11-27","1531-04-01"
"4d964a5e-f220-4b9e-aef2-976f5b92b756","Petrus MANIUS [COE] // Petrus Manius [CWE] // Manius, Peter [ALLEN]","1520-10-01","1520-10-01"
"4db7d5aa-bc74-4ece-bff2-6154db08675c","Willem BIBAUT [COE] // Willem Bibaut [CWE] // Bibaucius, William [ALLEN]","1526-04-07","1526-04-07"
"4e1811b8-de56-49bd-b14e-64ffae110e46","Helius EOBANUS Hessus [COE] // Helius Eobanus Hessus [CWE] // Eobanus, Helius (Hessus) [ALLEN]","1518-10-19","1531-08-11"
"4fc24182-7c0d-4e7d-a859-5d9d7ccd62da","Hendrik van BERGEN [COE] // Hendrik van Bergen [CWE] // Bergen, Henry of [ALLEN]","1496-11-07","1501-07-12"
"5018f2e3-f742-4d75-a617-10e968497901","Nikolaus von WATTENWYL [COE] // Nikolaus von Wattenwyl [CWE] // Wattenwyl, Nicholas of [ALLEN]","1522-03-07","1522-03-07"
"526c3f6a-393b-4b5a-9953-6adf29e72d4b","Nicolas RUISTRE [COE] // Nicolas Ruistre [CWE] // Ruistre, Nicholas (Ruterius) [ALLEN]","1503-11-17","1504-02-01"
"529617fa-cba0-43c7-943d-9b7c3022f9dc","Omaar van EDINGEN [COE] // Omaar van Edingen [CWE] // Edingus, Audomarus (Edinghen, Enghien, Omaer van) [ALLEN]","1528-10-01","1531-04-16"
"5383c812-0044-47a0-8b34-f736e317c2b3","ANTONIUS of Luxembourg [COE] // Antonius of Luxembourg [CWE] // Luxemburg, Antony of [ALLEN]","1500-12-11","1518-03-05"
"549fb059-0cb0-4de3-8e8e-733292d31640","Pieter WINCKEL [COE] // Pieter Winckel [CWE] // Winckel, Peter [ALLEN]","1484-11-01","1484-11-01"
"54dd52af-ee20-4274-a94b-e2271a525b88","Matthias LAURINUS [COE] // Matthias Laurinus [CWE] // Laurinus, Matthias [ALLEN]","1527-09-01","1527-09-01"
