"sender_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"29c5db34-d96c-4740-9835-559e6c9b7d9b","Johann Albrecht WIDMANSTETTER [COE] // Johann Albrecht Widmanstetter [CWE] // Widmanstetter, Johann Albrecht (Lucretius) [ALLEN]","1532-03-01","1532-03-01"
"68dc883c-645b-4097-8e9e-1df2015b7628","Jan van CAMPEN [COE] // Jan van Campen [CWE] // John Campensis [ALLEN]","1532-03-21","1532-03-21"
"f8bf143f-86fd-4174-a0b1-402851425270","Gabriel VERINUS [COE] // Gabriel Verinus [CWE] // Verinus, Gabriel [ALLEN]","1532-06-16","1532-06-16"
"ca0c069e-fda6-4f04-b46b-d3b7b722958e","Ludolf COCK [COE] // Ludolf Cock [CWE] // Coccius, Ludolph [ALLEN]","1532-07-09","1532-07-09"
"5e12ac25-9d0b-4a2e-b3c8-85ed1da4f27c","Iñigo LÓPEZ de Mendoza y Zúñiga [COE] // Iñigo López de Mendoza y Zúñiga [CWE] // Mendoza, Inigo Lopez de [ALLEN]","1532-08-28","1532-08-28"
"0c6162ce-7aa8-42cc-ba76-769c8ec2e659","Georg WITZEL [COE] // Georg Witzel [CWE] // Witzel, Georg [ALLEN]","1532-09-08","1533-03-30"
"08bc2797-a901-4407-8c0d-e39b72becf3f","François RABELAIS [COE] // François Rabelais [CWE] // Rabelais, François [ALLEN]","1532-11-30","1532-11-30"
"0d3acba1-151d-45b3-9ce7-aa1d56ab213b","Chunradus THURINGUS SALTZENSIS [COE] // Cunradus Thuringus Saltzensis [CWE] // Conrad Thuringus [ALLEN]","1533-04-01","1533-04-01"
"ddd1d68d-2c78-4684-b42c-35205c345024","Jakub GROFFIK [COE] // Jakub Groffik [CWE] // Grofficius [ALLEN]","1533-05-15","1533-05-15"
"79416219-c2e7-444d-99ca-674ec27f5c62","Philippe de CROY [COE] // Philippe de Croy [CWE] // Croy, Philippe [ALLEN]","1533-06-16","1533-06-16"
"525c1e08-327c-484e-b4e4-43fa3842afa8","Jacob HESSELE [COE] // Jacob Hessele [CWE] // Hessels, James [ALLEN]","1533-07-12","1533-07-12"
"467225c6-b4fc-4c8e-b109-bf05739756a7","Bernardus GRAVIUS [COE] // Bernardus Gravius [CWE] // Gravius, Bernardus [ALLEN]","1533-12-24","1534-03-01"
"b47b4e81-809a-45b4-ae46-91f503c1f17f","Christoph GERING [COE] // Christoph Gering [CWE] // Gering, Christoph [ALLEN]","1534-01-30","1535-01-29"
"895cf470-de9b-4e1c-b4b2-c085e910c574","Franciscus RICIUS [COE] // Franciscus Ricius [CWE] // Ritius, Franz a Sprinzenstein [ALLEN]","1534-03-17","1534-03-17"
"a236802a-c6a3-4110-b7e3-f2ac9b85320f","Giovanni DANIELI [COE] // Giovanni Danieli [CWE] // Danielis, John [ALLEN]","1534-05-16","1534-05-16"
"935daa70-ebf5-434e-8206-3aaf8dc26fde","Primo de' CONTI [COE] // Primo de' Conti [CWE] // Conti, Primo de' (Comes) [ALLEN]","1534-08-20","1534-08-20"
