"recipient_id","First Letter From Erasmus","Last Letter From Erasmus"
"lang_johann_viaf_67343955","1518-10-17","1520-08-02"
"lascaris_janus_viaf_32142389","1518-04-26","1518-04-26"
"latimer_william_viaf_unknown","1516-06-05","1517-02-01"
"latomus_bartholomaeus_viaf_73868162","1535-08-24","1535-08-24"
"laurentia_johannes_baptista_viaf_unknown","1535-03-18","1535-03-18"
"laurinus_marcus_viaf_unknown","1517-09-07","1527-09-01"
"laurinus_matthias_viaf_unknown","1527-09-01","1527-09-01"
"lauwereyns_joost_viaf_unknown","1522-07-14","1522-07-14"
"lee_edward_viaf_40182081","1518-01-01","1519-07-15"
"lefèvre_d'étaples_jacques_viaf_100170223","1517-09-11","1527-03-24"
"leone_ambrogio_viaf_27223230","1518-10-15","1518-10-15"
"leontius_[corpus_era]_viaf_unknown","1520-01-01","1520-01-01"
"leo_x_pope_viaf_316407579","1515-05-21","1520-09-13"
"lethmaet_herman_viaf_89176625","1522-02-21","1523-04-17"
"le_clerc_nicolas_viaf_unknown","1528-09-05","1528-09-05"
"linacre_thomas_viaf_59233331","1506-06-12","1521-08-24"
"lipsius_martin_viaf_17616612","1518-01-01","1528-09-05"
"listrius_gerardus_viaf_173705449","1517-11-02","1519-09-11"
"longland_john_viaf_65200907","1525-01-05","1536-03-16"
"longolius_christopherus_viaf_12405190","1519-04-01","1519-04-01"
"lorraine_jean_de_viaf_213357772","1525-03-22","1529-09-10"
"lotzer_johann_(1)_viaf_37256989","1529-03-08","1529-03-08"
"louvain_collegium_trilingue_viaf_not_applicable","1531-03-17","1531-03-17"
"louvain_faculty_of_theology_a_member_of_viaf_unknown","1520-01-01","1520-01-01"
"louvain_theologians_of_viaf_not_applicable","1521-06-01","1525-09-06"
"loxanus_georgius_viaf_unknown","1534-01-01","1534-01-01"
"lübeck_a_man_of_viaf_unknown","1498-12-01","1498-12-01"
"ludovicus_[corpus_era_ep_167]_viaf_unknown","1501-12-01","1501-12-01"
"ludovicus_[corpus_era_ep_790]_viaf_unknown","1518-03-05","1518-03-05"
"lupset_thomas_viaf_89034021","1517-10-26","1525-10-04"
"luther_martin_viaf_14773105","1519-05-30","1526-04-11"
"luxembourg_nicolas_de_viaf_unknown","1520-02-01","1520-02-01"
"maillard_nicolas_viaf_74209788","1531-03-28","1531-03-28"
"malaise_nicolas_de_viaf_309895453","1518-10-24","1518-10-24"
