"correspondents_id","name_in_edition","Beginning of correspondence with Erasmus","End of the correspondence with Erasmus"
"paracelsus_viaf_12313247","Theophrastus PARACELSUS [COE] // Theophrastus Paracelsus [CWE] // Paracelsus, Theophrastus [ALLEN]","1527-03-01","1527-03-01"
"parcius_thomas_viaf_unknown","Thomas PARCIUS [COE] // Thomas Parcius [CWE] // Parcius, Thomas [ALLEN]","1518-02-21","1518-02-21"
"parentibus_lazarus_a_viaf_unknown","Lazarus a PARENTIBUS [COE] // Lazarus a Parentibus [CWE] // Parentibus, Lazarus a [ALLEN]","1527-05-11","1527-05-11"
"paris_faculty_of_theology_of_viaf_not_applicable","[Faculty of Theology at Paris] [COE] // The Faculty of Theology of Paris [CWE] // Paris Theologians [ALLEN]","1526-02-06","1527-11-11"
"paris_parliament_of_viaf_not_applicable","[Parlement of Paris] [COE] // The Parlement of Paris [CWE] // Paris Parliament [ALLEN]","1526-06-14","1527-11-14"
"parra_juan_de_la_viaf_unknown","Juan de la PARRA [COE] // Juan de la Parra [CWE] // de la Parra, J. [ALLEN]","1519-02-13","1519-02-13"
"patron_a_[corpus_era]_viaf_unknown","[A Patron] [COE] // A Patron, perhaps in The Hague [CWE] // ? [ALLEN]","1520-12-01","1520-12-01"
"paul_iii_pope_viaf_51803934","Pope PAUL III [COE] // Paul III [CWE] // Paul III, Pope [ALLEN]","1535-01-23","1535-08-01"
"paul_iv_pope_viaf_88875623","Pope PAUL IV [COE] // Gianpietro Carafa [CWE] // Caraffa, John Peter (Paul IV) [ALLEN]","1515-12-23","1517-08-29"
"paumgartner_johann_(ii)_viaf_281100987","Johann (II) PAUMGARTNER [COE] // Johann (II) Paumgartner [CWE] // Paungartner, Johann [ALLEN]","1532-02-08","1536-06-25"
"paumgartner_johann_georg_viaf_unknown","Johann Georg PAUMGARTNER [COE] // Johann Georg Paumgartner [CWE] // Paungartner, John George [ALLEN]","1532-07-05","1533-05-12"
"pellicanus_konrad_viaf_41862976","Conradus PELLICANUS [COE] // Conradus Pellicanus [CWE] // Pellican, Conrad [ALLEN]","1525-10-15","1535-11-18"
"peutinger_konrad_viaf_56776766","Konrad PEUTINGER [COE] // Konrad Peutinger [CWE] // Peutinger, Conrad [ALLEN]","1520-11-09","1521-12-09"
"pflug_julius_von_viaf_3265533","Julius PFLUG [COE] // Julius Pflug [CWE] // Pflug, Julius [ALLEN]","1530-10-10","1535-05-07"
"philip_utrecht_bischof_viaf_47558106","Philip (I) of BURGUNDY [COE] // Philip of Burgundy [CWE] // Burgundy, Philip of [ALLEN]","1517-07-10","1519-11-01"
"phoenix_petrus_viaf_uncertain","Petrus PHOENIX [COE] // Petrus Phoenix [CWE] // Felix [ALLEN]","1528-02-21","1528-02-21"
"pins_jean_de_viaf_95268746","Jean de PINS [COE] // Jeans de Pins [CWE] // Pins, Jean de [ALLEN]","1532-03-20","1535-05-19"
"pio_alberto_viaf_122252078","Alberto PIO [COE] // Alberto Pio [CWE] // Pio, Alberto [ALLEN]","1525-10-10","1528-12-23"
"pirckheimer_willibald_viaf_27173507","Willibald PIRCKHEIMER [COE] // Willibald Pirckheimer [CWE] // Pirckheimer, Willibald [ALLEN]","1515-01-24","1530-08-29"
"piso_jacob_viaf_46572011","Jacobus PISO [COE] // Jacob Piso / Jacobus Piso [CWE] // Piso, Jacobus [ALLEN]","1509-06-30","1526-09-09"
"pistoris_simon_viaf_45210172","Simon PISTORIS [COE] // Simon Pistoris [CWE] // Pistorius, Simon [ALLEN]","1524-12-01","1531-03-14"
"pistorius_christopherus_viaf_unknown","Christophorus PISTORIUS [COE] // Christophorus Pistorius [CWE] // Pistorius, Christopher [ALLEN]","1527-09-25","1527-09-25"
"pistor_matthias_viaf_unknown","Matthias PISTOR [COE] // Matthias Pistor [CWE] // Pistor, Mathias [ALLEN]","1526-01-01","1526-01-01"
"plaine_gérard_de_viaf_unknown","Gérard de PLAINE [COE] // Gérard de Plaine [CWE] // Plaine, Gérard de [ALLEN]","1524-03-26","1524-03-26"
"plateanus_petrus_viaf_22285877","Petrus PLATEANUS [COE] // Petrus Plateanus [CWE] // Plateanus, Petrus [ALLEN]","1529-09-08","1529-09-08"
"platz_ludwig_viaf_unknown","Ludwig PLATZ [COE] // Ludwig Platz [CWE] // Platz, Louis [ALLEN]","1520-07-31","1520-07-31"
"pole_reginald_viaf_37029945","Reginald POLE [COE] // Reginald Pole [CWE] // Pole, Reginald [ALLEN]","1525-10-04","1531-08-25"
"ponchier_étienne_viaf_233493311","Etienne PONCHER [COE] // Etienne Poncher [CWE] // Poncher, Stephen [ALLEN]","1517-02-14","1519-10-02"
"praepositus_edanus_nicolaus_viaf_unknown","Nicolaus PRAEPOSITUS Edanus [COE] // Nicolaus Praepositus Edanus [CWE] // Praepositus, Nicholas [ALLEN]","1519-12-19","1519-12-19"
"praus_kilian_viaf_unknown","Kilian PRAUS [COE] // Kilian Praus [CWE] // Chilianus, Clemens (Praüs) [ALLEN]","1524-05-27","1524-05-27"
"precellius_georgius_viaf_uncertain","Georgius PRECELLIUS [COE] // Georgius Precellius [CWE] // Precell, George [ALLEN]","1516-04-05","1516-04-05"
"priccardus_leonardus_viaf_unknown","Leonardus PRICCARDUS [COE] // Leonardus Priccardus [CWE] // Priccard, Leonard [ALLEN]","1519-05-23","1520-01-01"
"pucci_antonio_viaf_49215795","Antonio PUCCI [COE] // Antonio Pucci [CWE] // Pucci, Antonio [ALLEN]","1518-08-26","1525-06-07"
"pucci_lorenzo_viaf_37813554","Lorenzo PUCCI [COE] // Lorenzo Pucci [CWE] // Pucci, Lorenzo [ALLEN]","1519-07-31","1519-07-31"
"quinonus_guilhelmus_viaf_unknown","Guilhelmus QUINONUS [COE] // Guilhelmus Quinonus [CWE] // Quinonus, William [ALLEN]","1530-09-06","1530-09-06"
"quintinus_[corpus_era]_viaf_unknown","QUINTINUS [COE] // Quintinus [CWE] // Quintin, Jean [ALLEN]","1531-03-09","1531-03-09"
"rabelais_françois_viaf_24606939","François RABELAIS [COE] // François Rabelais [CWE] // Rabelais, François [ALLEN]","1532-11-30","1532-11-30"
"rebhan_leonhard_viaf_unknown","Leonhard REBHAN [COE] // Leonhard Rebhan [CWE] // Rephanus, Leonard [ALLEN]","1529-06-06","1529-06-06"
"reisch_gregor_viaf_9989194","Gregor REISCH [COE] // Gregor Reisch [CWE] // Reisch, Gregory [ALLEN]","1514-09-01","1514-10-04"
"rem_wolfgang_andreas_viaf_61982771","Wolfgang Andreas REM [COE] // Wolfgang Andreas Rem [CWE] // Rem, Wolfgang [ALLEN]","1531-01-02","1531-01-02"
"rescius_rutgerus_viaf_76304064","Rutgerus RESCIUS [COE] // Rutgerus Rescius [CWE] // Rescius, Rutgerus (Dryopolitanus) [ALLEN]","1517-03-08","1527-10-07"
"resende_andré_de_viaf_120700950","André de RESENDE [COE] // André de Resende [CWE] // Resende, Angelus Andreas de (Recendius) [ALLEN]","1531-06-08","1531-06-08"
"reuchlin_johann_viaf_66542815","Johann REUCHLIN [COE] // Johann Reuchlin [CWE] // Reuchlin, Johann (Capnio) [ALLEN]","1514-04-01","1520-11-08"
"rex_felix_viaf_311598393","Felix REX [COE] // Felix Rex [CWE] // Rex Polyphemus, Felix [ALLEN]","1529-03-23","1529-03-23"
"rhegius_urbanus_viaf_17232588","Urbanus RHEGIUS [COE] // Urbanus Regius [CWE] // Regius, Urbanus (Rieger) [ALLEN]","1516-02-24","1522-01-04"
"rhenanus_beatus_viaf_39415982","BEATUS Rhenanus [COE] // Beatus Rhenanus [CWE] // Beatus Rhenanus (Beat Bild) [ALLEN]","1515-04-13","1528-02-03"
"rhodiginus_lodovicus_caelius_viaf_89608307","Lodovico RICCHIERI [COE] // Lodovico Ricchieri [CWE] // Caelius Rhodiginus (Ludovicus Caelius Richerius) [ALLEN]","1519-04-22","1519-04-22"
"rhodus_stegrius_viaf_unknown","Godofredus RHODUS Stegrius [COE] // Godofredus Rhodus Stegrius [CWE] // Rhodus, Ghodfrey [ALLEN]","1520-01-01","1520-01-01"
"riario_raffaello_viaf_25474452","Raffaele RIARIO [COE] // Raffaele Riario, Cardinal of San Giorgio / Cardinal Raffaele Riario [CWE] // Riario, Raffaele [ALLEN]","1515-05-15","1515-07-18"
"richardot_pierre_viaf_unknown","Pierre RICHARDOT [COE] // Pierre Richardot [CWE] // Richardot, Pierre [ALLEN]","1533-11-19","1536-02-24"
"ricius_franz_viaf_100463260","Franciscus RICIUS [COE] // Franciscus Ricius [CWE] // Ritius, Franz a Sprinzenstein [ALLEN]","1534-03-17","1534-03-17"
"ricius_paulus_viaf_60018918","Paulus RICIUS [COE] // Paulus Ricius [CWE] // Ricius, Paulus (Ritius) [ALLEN]","1520-11-01","1520-11-01"
"riedt_johannes_von_viaf_307306719","Johann von RIEDT [COE] // Johann von Riedt [CWE] // Rheidt, John of [ALLEN]","1528-10-01","1528-10-01"
"rinck_johann_viaf_unknown","Johann RINCK [COE] // Johann Rinck [CWE] // Rinck, Johann [ALLEN]","1530-03-17","1535-03-16"
"riquinus_simon_viaf_37734565","Simon RIQUINUS [COE] // Simon Riquinus [CWE] // Riquinus, Simon (Rychuinus, Rychwyn) [ALLEN]","1530-01-01","1530-03-29"
"ritius_hieronymus_viaf_2869186","Hieronymus RICIUS [COE] // Hieronymus Ricius [CWE] // Ricius, Jerome [ALLEN]","1529-03-23","1529-04-21"
"rivulo_adrianus_a_viaf_unknown","Adrianus a RIVULO [COE] // Adrianus a Rivulo [CWE] // Rivulo, Adrianus A [Rivo] [ALLEN]","1528-03-21","1528-03-21"
"robbyns_jan_viaf_unknown","Jan ROBBYNS [COE] // Jan Robijns [CWE] // Robyns, John [Robbyns] [ALLEN]","1518-03-26","1524-06-28"
"rogerus_servatius_viaf_unknown","Servatius ROGERUS [COE] // Servatius Rogerus [CWE] // Rogerus, Servatius [ALLEN]","1487-01-01","1514-07-08"
"roper_margaret_viaf_20552280","Margaret MORE [COE] // Margaret Roper [CWE] // Roper, Margaret [More, Margaret] [ALLEN]","1523-12-25","1529-11-04"
"rosemondt_godescalc_viaf_15113247","Godschalk ROSEMONDT [COE] // Godschalk Rosemondt [CWE] // Rosemondt, Godescalc [ALLEN]","1520-10-18","1520-12-16"
"rosinus_johannes_viaf_37991609","Johannes ROSINUS [COE] // Johannes Rosinus [CWE] // Rosinus, John [ALLEN]","1531-03-16","1531-03-16"
"rotenhan_sebastian_von_viaf_29835542","Sebastian von ROTENHAN [COE] // Sebastian von Rotenhan [CWE] // Rotenhan, Sebastian [ALLEN]","1520-08-13","1520-08-13"
"ruistre_nicolas_viaf_unknown","Nicolas RUISTRE [COE] // Nicolas Ruistre [CWE] // Ruistre, Nicholas (Ruterius) [ALLEN]","1503-11-17","1504-02-01"
"ruiz_de_la_mota_bishop_of_badajoz_viaf_69068021","Pedro Ruiz de la MOTA [COE] // Pedro Ruiz de la Mota [CWE] // Mota, Peter Ruiz de la [ALLEN]","1522-04-21","1522-04-21"
"ruiz_de_virués_alonso_viaf_89519337","Alonso Ruiz de VIRUÉS [COE] // Alonso Ruiz de Virués [CWE] // Virves, Alonso Ruiz de (Ulmetanus) [ALLEN]","1527-02-23","1532-04-15"
"rupilius_franciscus_viaf_uncertain","Franciscus RUPILIUS [COE] // Franciscus Rupilius [CWE] // Rupilius, Franciscus [ALLEN]","1533-09-08","1535-03-29"
"ruser_johann_viaf_unknown","Johann RUSER [COE] // Johann Ruser [CWE] // Ruser, John [ALLEN]","1517-07-20","1517-08-24"
"ruthall_thomas_viaf_21976614","Thomas RUTHALL [COE] // Thomas Ruthall [CWE] // Ruthall, Thomas [ALLEN]","1506-06-01","1519-05-25"
"ruys_walter_viaf_77133642","Walter RUYS [COE] // Walter Ruys [CWE] // Ruys, Walter [ALLEN]","1524-07-26","1524-07-26"
"ruzé_louis_viaf_306487693","Louis RUZÉ [COE] // Louis Ruzé [CWE] // Ruzé, Louis [ALLEN]","1519-03-16","1519-03-19"
"saarburg_matthias_von_viaf_unknown","Matthias von SAARBURG [COE] // Matthias von Saarburg [CWE] // Saarburg, Matthias of [ALLEN]","1518-10-19","1518-10-19"
"sadoleto_jacopo_viaf_76326881","Jacopo SADOLETO [COE] // Jacopo Sadoleto [CWE] // Sadoleto, Jacopo [ALLEN]","1524-11-06","1534-12-09"
"sadoleto_paolo_viaf_75692067","Paolo SADOLETO [COE] // Paolo Sadoleto [CWE] // Sadoleto, Paolo [ALLEN]","1533-08-30","1533-08-30"
"sagundino_niccolò_viaf_unknown","Niccolò SAGUNDINO [COE] // Niccolò Sagundino [CWE] // Sagundinus, Nicholas [ALLEN]","1517-06-22","1517-06-22"
"sampson_richard_viaf_44650591","Richard SAMPSON [COE] // Richard Sampson [CWE] // Sampson, Richard [ALLEN]","1518-03-02","1518-03-02"
"sapidus_johannes_viaf_24771033","Johannes SAPIDUS [COE] // Johannes Sapidus [CWE] // Sapidus, Joannes (Witz) [ALLEN]","1515-01-31","1521-12-30"
"sasboudus_[corpus_era]_viaf_unknown","SASBOUDUS [COE] // Sasbout [CWE] // Sasboud [ALLEN]","1488-01-01","1488-01-01"
"sasbout_jodok_viaf_22959409","Joost SASBOUT [COE] // Joost Sasbout [CWE] // Sasbout, Jodocus [ALLEN]","1532-05-03","1533-07-14"
"sbrulius_richardus_viaf_57544463","Riccardo SBRUGLIO [COE] // Riccardo Sbruglio [CWE] // Sbrulius, Richardus [ALLEN]","1520-11-13","1520-11-13"
"scarpinelli_agostino_viaf_unknown","Agostino SCARPINELLI [COE] // Agostino Scarpinelli [CWE] // Scapinellus, Augustinus [ALLEN]","1520-12-13","1524-08-30"
"scevola_daniele_viaf_unknown","Daniele SCEVOLA [COE] // Daniele Scevola [CWE] // not included in the ALLEN corpus]","1509-12-22","1509-12-22"
"schade_peter_viaf_12457732","Petrus MOSELLANUS [COE] // Petrus Mosellanus [CWE] // Mosellanus, Petrus (Schade) [ALLEN]","1517-03-24","1522-08-08"
"schad_johann_matthäus_viaf_unknown","Johann Matthäus SCHAD [COE] // Johann Matthäus Schad [CWE] // Schad, Matthew [ALLEN]","1525-11-19","1525-11-19"
"schaidenreisser_simon_viaf_37716359","Simon SCHAIDENREISSER [COE] // Simon of Sechsstädtebund [CWE] // Hexapolitanus, Simon [ALLEN]","1516-09-01","1516-09-01"
"schalbe_kaspar_viaf_uncertain","Kaspar SCHALBE [COE] // Kaspar Schalbe [CWE] // Schalbe, Gaspard [ALLEN]","1519-05-28","1519-05-30"
"schepper_cornelis_duplicius_de_viaf_95137124","Cornelis de SCHEPPER [COE] // Cornelis de Schepper [CWE] // Scepperus, Cornelius [ALLEN]","1530-06-06","1531-11-17"
"schetz_erasmus_viaf_101339450","Erasmus SCHETS [COE] // Erasmus Schets [CWE] // Schets, Erasmus [ALLEN]","1525-01-30","1536-06-01"
"schetz_gaspar_viaf_77246028","Gaspar SCHETS [COE] // Gaspar Schets [CWE] // Schets, Gaspard [ALLEN]","1534-01-23","1534-01-23"
"schiner_matthäus_viaf_184814357","Matthäus SCHINER [COE] // Matthäus Schiner [CWE] // Schinner, Matthew [ALLEN]","1520-12-16","1522-06-25"
"schirn_georg_viaf_unknown","Georg SCHIRN [COE] // Georg Schirn [CWE] // Schirn, George [ALLEN]","1520-09-10","1520-09-10"
"schmotzer_goerg_viaf_unknown","Georg SCHMOTZER [COE] // Georg Schmotzer [CWE] // Smotzer, Georg [ALLEN]","1527-12-27","1527-12-27"
"schudelin_johann_viaf_unknown","Johann SCHUDELIN [COE] // Johann Schudelin [CWE] // Schudelinus, John [ALLEN]","1521-09-04","1521-09-04"
"schürer_matthias_viaf_102445072","Matthias SCHÜRER [COE] // Matthias Schürer [CWE] // Schürer, Matthias [ALLEN]","1514-10-15","1517-10-31"
"schweiß_alexander_von_viaf_89934990","Alexander SCHWEISS [COE] // Alexander Schweiss [CWE] // Schweiss, Alexander [ALLEN]","1521-03-13","1521-03-13"
"selve_jean_de_viaf_27411548","Jean de SELVE [COE] // Jean de Selve [CWE] // Selva, John [ALLEN]","1525-07-01","1525-08-25"
"sepúlveda_juan_ginés_de_viaf_39405614","Juan Ginés de SEPÚLVEDA [COE] // Juan Ginés de Sepúlveda [CWE] // Sepulveda, Juan Gines de [ALLEN]","1532-04-01","1536-02-13"
"sigismund_i_king_of_poland_viaf_84145052","SIGISMUND I [COE] // Sigismund I [CWE] // Sigismund I, King of Poland [ALLEN]","1527-05-15","1531-08-17"
"silvius_andreas_viaf_20500070","Andreas SILVIUS [COE] // Andreas Silvius [CWE] // Silvius, Andrew [ALLEN]","1533-03-15","1533-03-15"
"sinapius_johannes_viaf_50037880","Johannes SINAPIUS [COE] // Johannes Sinapius [CWE] // Sinapius, John [ALLEN]","1531-03-21","1536-04-03"
"sixtinus_johannes_viaf_unknown","Johannes SIXTINUS [COE] // Johannes Sixtinus [CWE] // Sixtin, John [ALLEN]","1499-10-27","1518-04-23"
"šlechta_ze_všehrd_jan_viaf_280635559","Jan ŠLECHTA [COE] // Jan Šlechta [CWE] // Slechta, John [ALLEN]","1519-04-23","1519-11-01"
"smith_john_viaf_unknown","John SMITH [COE] // John Smith [CWE] // Smith, John [ALLEN]","1518-10-25","1518-10-25"
"snoy_reinier_viaf_7421281","Reyner SNOY [COE] // Reyner Snoy [CWE] // Snoy, Reyner [ALLEN]","1516-09-01","1516-09-01"
"sobius_jakob_viaf_49520543","Jacobus SOBIUS [COE] // Jacobus Sobius [CWE] // Sobius, Jacobus [Sobbe] [ALLEN]","1526-12-28","1526-12-28"
"solfa_jan_benedykt_viaf_50385319","Jan Benedykt SOLFA [COE] // Jan Benedykt Solfa [CWE] // Bendicti, John [ALLEN]","1532-02-04","1532-02-04"
"spalatin_georg_viaf_240011410","Georgius SPALATINUS [COE] // Georgius Spalatinus [CWE] // Spalatinus, George [ALLEN]","1516-12-11","1532-02-18"
"sparcheford_richard_viaf_unknown","Richard SPARCHEFORD [COE] // Richard Sparcheford [CWE] // Sparcheford, Richard [ALLEN]","1517-08-31","1527-11-03"
"spiegel_jakob_viaf_24846746","Jakob SPIEGEL [COE] // Jakob Spiegel [CWE] // Spiegel, James [ALLEN]","1518-08-31","1531-12-27"
"spinola_luigi_viaf_unknown","Luigi SPINOLA [COE] // Luigi Spinola [CWE] // Spinula, Luigi [ALLEN]","1535-04-08","1535-04-08"
"stadion_christoph_von_bishop_of_augsburg_viaf_72202625","Christoph von STADION [COE] // Christoph von Stadion [CWE] // Stadion, Christoph von [ALLEN]","1528-08-26","1535-11-27"
"stercke_jan_viaf_unknown","Jan STERCKE [COE] // Jan Stercke [CWE] // Stercke, J. [ALLEN]","1522-11-24","1522-11-24"
"steuco_agostino_viaf_59880366","Agostino STEUCO [COE] // Agostino Steuco [CWE] // Steuchus Eugubinus, Augustinus [ALLEN]","1531-03-27","1531-07-25"
"stibar_von_rabenek_viaf_37863206","Daniel STIEBAR von Buttenheim [COE] // Daniel Stiebar von Buttenheim [CWE] // Stibarus, Daniel [ALLEN]","1528-10-18","1536-07-25"
"storch_ambrosius_viaf_89269911","Ambrosius PELARGUS [COE] // Ambrosius Pelargus [CWE] // Pelargus, Ambrosius [ALLEN]","1529-06-01","1534-09-01"
"strasbourg_magistrates_of_viaf_not_applicable","[Magistrates of Strasbourg] [COE] // Magistrates of Strasbourg [CWE] // Strasburg, Magistrates [ALLEN]","1524-03-13","1530-03-28"
"sturm_jakob_viaf_42633585","Jakob STURM [COE] // Jakob Sturm [CWE] // Sturm, Jakob [ALLEN]","1531-07-06","1535-10-23"
"sucket_jan_(i)_viaf_unknown","Jan (I) SUCKET [COE] // Jan Sucket [CWE] // Sucquet, John [ALLEN]","1525-02-01","1525-02-01"
"sucket_karel_viaf_unknown","Karel SUCKET [COE] // Karel Sucket [CWE] // Sucquet, Charles [ALLEN]","1529-07-02","1530-08-31"
"sutter_johann_viaf_5760662","Johannes BRISGOICUS [COE] // Johannes Brisgoicus [CWE] // John Brysgoicus [ALLEN]","1529-05-06","1529-05-06"
"swiss_confedercy_viaf_not_applicable","[Swiss Confederation] [COE] // The Swiss Confederation [CWE] // Swiss Confederacy [ALLEN]","1526-05-15","1526-05-15"
"sycamber_rutger_viaf_17566940","Rutgerus SYCAMBER [COE] // Rutgerus Sycamber [CWE] // not included in the ALLEN corpus]","1497-09-01","1497-09-01"
"szydłowiecki_krzysztof_viaf_18320094","Krzysztof SZYDŁOWIECKI [COE] // Krzysztof Szydłowiecki [CWE] // Schydlowyetz, Christopher of [ALLEN]","1525-08-14","1530-09-02"
"słalp_dąbrówski_marcin_viaf_unknown","Marcin SŁAP Dąbrówski [COE] // Marcin Słap Dąbrówski [CWE] // Slap a Dambrowka, Martin [ALLEN]","1530-07-12","1536-05-13"
"talesius_quirinus_viaf_unknown","Quirinus TALESIUS [COE] // Quirinus Talesius [CWE] // Talesius, Quirinus [ALLEN]","1528-03-12","1532-10-31"
"tate_william_viaf_unknown","William TATE [COE] // William Tate [CWE] // Tate, William [ALLEN]","1521-12-04","1521-12-04"
"tayspil_daniël_viaf_unknown","Daniël TAYSPIL [COE] // Daniël Tayspil [CWE] // Tayspil, Daniel [ALLEN]","1521-07-05","1521-07-05"
"thale_william_viaf_unknown","William THALE [COE] // William Thale [CWE] // Thale, William [ALLEN]","1521-08-13","1521-08-13"
"theoderici_jacobus_viaf_unknown","Jacobus THEODERICI [COE] // Jacobus Theodorici of Hoorn [CWE] // Theodorici, J. of Hoorn [ALLEN]","1519-04-17","1519-04-17"
"theoderici_vincentius_viaf_unknown","Vincentius THEODERICI [COE] // Vincentius Theoderici [CWE] // Theodorici, Vincentius (Bucenta) [ALLEN]","1521-03-10","1521-03-10"
"theodericus_franciscus_viaf_unknown","Franciscus THEODERICUS [COE] // Franciscus Theodericus [CWE] // Theodoric, Francis [ALLEN]","1487-01-01","1505-11-01"
"thomas_georg_viaf_unknown","Georg THOMAS [COE] // Georg Thomas [CWE] // Thomas, George [ALLEN]","1527-08-31","1527-08-31"
"thüngen_konrad_ii_von_viaf_26411713","Konrad von THÜNGEN [COE] // Konrad von Thüngen [CWE] // Thuengen, Conrad of [ALLEN]","1520-07-31","1531-03-17"
"thuringus_saltzensis_chunradus_viaf_unknown","Chunradus THURINGUS SALTZENSIS [COE] // Cunradus Thuringus Saltzensis [CWE] // Conrad Thuringus [ALLEN]","1533-04-01","1533-04-01"
"thurzó_alexius_viaf_81112974","Alexius THURZO [COE] // Alexius Thurzo [CWE] // Turzo, Alexius [ALLEN]","1525-04-30","1525-04-30"
"thurzó_stanislaus_bishop_of_olomouc_viaf_35631755","Stanislaus THURZO [COE] // Stanislaus Thurzo [CWE] // Turzo, Stanislas [ALLEN]","1521-11-20","1532-08-08"
"tittelmans_franciscus_viaf_27074875","Frans TITELMANS [COE] // Frans Titelmans [CWE] // Titelmans, Francis (Franciscanus) [ALLEN]","1527-01-01","1530-01-01"
"tomicki_piotr_viaf_25699004","Piotr TOMICKI [COE] // Piotr Tomicki [CWE] // Tomiczki, Peter [ALLEN]","1527-12-12","1535-10-25"
"toneys_robert_viaf_36728303","Robert TONEYS [COE] // Robert Toneys [CWE] // Tones, Robert [ALLEN]","1524-09-05","1524-09-05"
"torresani_gian_francesco_viaf_72229342","Gianfrancesco TORRESANI [COE] // Gianfrancesco Torresani of Asola [CWE] // Asulanus, Jo. Franciscus (F. Toressano) [ALLEN]","1518-02-01","1526-09-03"
"torresanus_andreas_de_asula_viaf_29587053","Andrea TORRESANI [COE] // Andrea Torresani [CWE] // Asulanus, Andreas (A. Torresano) [ALLEN]","1517-06-21","1528-04-19"
"tournon_françois_viaf_120736278","François de TOURNON [COE] // François de Tournon [CWE] // Tournon, François de [ALLEN]","1522-11-10","1522-11-10"
"toussain_pierre_viaf_55019278","Pierre TOUSSAIN [COE] // Pierre Toussain [CWE] // Tossanus, Petrus (Tossain, Toussain) [ALLEN]","1528-09-03","1528-09-03"
"trautmannsdorf_andreas_von_viaf_uncertain","Andreas von TRAUTMANNSDORF [COE] // Andreas von Trautmannsdorf [CWE] // Trautmansdorff, Andreas [ALLEN]","1530-10-19","1530-10-19"
"trazegnies_jean_de_viaf_23295460","Johann POPPENRUYTER [COE] // Johann Poppenruyter [CWE] // Poppenruyter, J. [ALLEN]","1501-09-01","1517-11-02"
"trivulzio_agostino_viaf_252903656","Agostino TRIVULZIO [COE] // Agostino Trivulzio [CWE] // Trivulzio, Agostino [ALLEN]","1531-01-30","1531-04-12"
"trophinus_felix_viaf_unknown","Felix TROPHINUS [COE] // Felix Trophinus [CWE] // Trophinus, Felix [ALLEN]","1525-05-13","1525-05-13"
"truchsess_von_waldburg_zu_trauchburg_christoph_viaf_230372349","Christoph TRUCHSESS von Waldburg [COE] // Christoph Truchsess [CWE] // Truchses, Christoph [ALLEN]","1525-10-04","1530-07-09"
"trzecieski_andrzej_viaf_uncertain","Andrzej TRZECIESKI [COE] // Andrzej Trzecieski [CWE] // Trzecieski, Andrew [ALLEN]","1527-10-28","1527-10-28"
"tunstall_cuthbert_viaf_22160214","Cuthbert TUNSTALL [COE] // Cuthbert Tunstall [CWE] // Tunstall, Cuthbert [ALLEN]","1517-04-22","1530-01-31"
"tusanus_jacobus_viaf_221293349","Jacques TOUSSAIN [COE] // Jacques Toussain [CWE] // Tusanus [ALLEN]","1526-05-16","1531-03-13"
"uenhove_carolus_viaf_193330185","Karel UUTENHOVE [COE] // Karel Uutenhove [CWE] // Utenhove, Charles [ALLEN]","1529-02-01","1533-04-24"
"unnamed_person_viaf_not_applicable","[not included in COE] // ? [CWE] // Unnamed Person [ALLEN]","1500-03-01","1533-08-01"
"urswick_christopher_viaf_295806067","Christopher URSWICK [COE] // Christopher Urswick [CWE] // Urswick, Christopher [ALLEN]","1506-06-01","1516-06-05"
"utenheim_christoph_von_viaf_64412735","Christoph von UTENHEIM [COE] // Christoph von Utenheim [CWE] // Utenheim, Christopher of [ALLEN]","1517-07-13","1524-07-29"
"valdés_alfonso_de_viaf_89087729","Alfonso de VALDÉS [COE] // Alfonso de Valdés [CWE] // Valdes, Alonso [ALLEN]","1527-03-31","1531-08-29"
"valdés_juan_de_viaf_19691005","Juan de VALDÉS [COE] // Juan de Valdés [CWE] // Valdes, John [ALLEN]","1528-03-01","1530-01-13"
"vannes_pietro_viaf_unknown","Pietro VANNES [COE] // Pietro Ammonio [CWE] // Vannes, Peter (Petrus Ammonius) [ALLEN]","1517-09-08","1518-04-23"
"vel_caspar_ursinus_viaf_79441643","Caspar URSINUS Velius [COE] // Caspar Ursinus Velius [CWE] // Ursinus Velius, Caspar (Bernhardi) [ALLEN]","1518-06-20","1532-06-26"
"venatorius_thomas_viaf_43677502","Thomas VENATORIUS [COE] // Thomas Venatorius [CWE] // Venatorius, Thomas [ALLEN]","1531-09-06","1531-09-06"
"vergara_francisco_viaf_23079828","Francisco de VERGARA [COE] // Francisco de Vergara [CWE] // Vergara, Francisco [ALLEN]","1527-09-02","1530-01-13"
"vergara_juan_de_viaf_100470729","Juan de VERGARA [COE] // Juan de Vergara [CWE] // Vergara, Joannes [ALLEN]","1522-04-24","1533-11-19"
"vergerio_pietro_paolo_viaf_51698984","Pier Paolo VERGERIO [COE] // Pier Paolo Vergerio [CWE] // Vergerio, Peter Paul [ALLEN]","1533-06-20","1533-06-20"
"vergil_polydore_viaf_89468390","Polidoro VIRGILIO [COE] // Polidoro Virgilio [CWE] // Vergil. Polydore [ALLEN]","1520-12-23","1532-06-19"
"verinus_gabriel_viaf_51698984","Gabriel VERINUS [COE] // Gabriel Verinus [CWE] // Verinus, Gabriel [ALLEN]","1532-06-16","1532-06-16"
"vers_louis_de_viaf_unknown","Louis de VERS [COE] // Louis de Vers [CWE] // Vers, Louis de [ALLEN]","1533-12-11","1535-10-07"
