"sender_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"aa4bc686-4e16-4aa5-b489-b3526071f82c","Martin Löffelholz","1508-03-25","1527-09-12"
"abce8c6b-5539-4ea3-bb6a-e9f10736e18e","Martin Geuder d. J.","1528-06-26","1528-06-26"
"ac4b450a-c592-427e-9595-54f0794c9975","Johannes Aventinus","1530-12-01","1530-12-01"
"af10e8f1-3db7-4a36-888e-b4fe4059dd71","Hieronymus Walther","1530-01-11","1530-02-26"
"b023eb5e-01bf-461a-adc6-4e9d244ce895","Sebald Pfinzing","1529-04-05","1529-04-05"
"b0cae6e8-539f-42d1-a076-81cf2eb15d37","Benedikt Swertfürland","1520-04-12","1520-04-12"
"b120e7cc-8295-4368-9789-67fa2edbe688","Gabriel Hummelberg","1527-09-08","1530-08-21"
"b1837e40-cca0-4a8c-98e2-451dcae00cce","Brigitta Geuder","1520-08-25","1520-08-25"
"b2816534-2757-4398-85dc-5bcf17f4c4bb","Hans von Sternberg zu Callenberg","1518-01-23","1518-01-23"
"b4334552-a47d-4d49-8a88-6c31ce4bb8a5","Georg Sibutus","1505-06-01","1505-06-01"
"b680758a-3438-4879-a9ef-2f17ea220357","Johann Lotzer","1529-01-01","1529-01-01"
"b8008adf-67de-4c3a-8100-f93a6e4c0e98","Johann Sturio","1524-03-20","1526-09-26"
"ba8860ff-55f9-4b4a-bcb7-416c7e3f4b14","Peter Burckhardt","1520-03-27","1520-03-27"
"bbd8627e-7556-4d6b-94b3-73b028601195","Melchior Macrinus","1524-11-05","1524-11-05"
"bbf9e8bd-7629-4a35-8c1a-0160bb3137e2","Johannes Faber","1519-08-12","1519-08-12"
"bc50a443-ba15-40b1-a604-f5d5fbe99467","Balthasar Merklin","1528-08-08","1528-08-08"
"bcae12f6-ea24-4770-b074-ae7568203cb0","Balthasar Wolff von Wolfstal","1516-10-08","1519-01-05"
"bd409709-ea80-4f2d-8ac3-9173bfeb8d4f","Lienhart Groland","1519-08-26","1519-08-26"
"be273f96-c387-44e8-b3ae-bc9bd615b3a5","Martin Luther","1519-02-20","1519-02-20"
"be6e671e-4610-45f6-b1af-2f8ac04cfeaa","Hans Wildreich","1506-02-05","1506-02-05"
"c035dba2-8d68-4943-b491-2daf2d34764f","Wolfgang Plick","1528-02-08","1528-02-08"
"ca53baf6-59fd-419e-9d35-ea5b5ae6f2ca","Hans Imhoff jun.","1518-11-14","1518-12-03"
"caa86a52-9f91-49a1-aabc-4d7bba06eb09","Paulus Rizius","1522-12-29","1522-12-29"
"cb33eae4-d234-4bde-a80c-72ca65cef5ab","Lukas Straub","1528-12-01","1529-02-13"
"cbcbe9b3-eb73-48ab-8adc-550446710b11","Johann Jakob von Klingenberg","1519-11-14","1520-04-17"
"cc899f0a-e006-474f-a051-969cd5dad1d4","Hieronymus Schutter","1529-02-10","1529-02-10"
"cd68e0d6-f6e2-4d89-bea9-7bc9c74d9f87","Katharina Habermayerin // Katharina, Priorin des Klosters Marienburg","1506-01-09","1506-01-09"
"cfc1778d-850c-4577-971e-fafe18235b2e","Rat von Donauwörth","1526-03-05","1526-03-05"
"d00759de-6d08-4dfe-8f59-ed9e171155c3","Gottfried von Lier","1527-10-31","1527-10-31"
"d1bc3af6-3457-4c92-ba36-0f2131f44dd5","Ambrosius Dietrich","1507-03-16","1526-01-15"
"d1e7b40f-3b6a-41d5-8633-e92288ca6927","Bürgermeister von Donauwörth","1526-03-05","1526-03-05"
"d2b44b08-36f2-47dd-a9bf-461ac6dd6a28","Hans Truchseß","1519-12-03","1519-12-03"
"d3921a3d-f88c-465d-96a8-29b82ef48e3d","Graf Heinrich von Nassau","1527-10-31","1527-10-31"
"d3cd6a1d-c461-4238-a7ba-1c26e6947315","Christoph Vinster","1525-01-01","1525-01-01"
"da9cdfc6-e671-44e5-a3e6-1f862edfd854","Lenhart Warburdt","1518-04-18","1518-04-18"
"dba1603f-8714-4349-a9d4-06f69cb86e50","Urbanus Rhegius","1526-04-24","1526-04-24"
"dcf67953-9ca0-4d60-afd3-866d129ddbc6","Hans Wildenhaimer","1520-04-13","1520-04-13"
"de84943d-1fbd-4d39-a7a3-48f0349c6c5e","Georg Sporer","1528-10-05","1530-07-26"
"de951b82-29da-4042-baff-d4d649ae4539","Christoph Hegendorf","1520-07-01","1520-07-01"
"e1d61ad4-bfa4-4202-97c4-29ef8cf66541","Friedrich Nausea","1518-06-19","1519-11-04"
"e3b0c72c-6818-412b-9347-09ad2ec74f35","Johann Pöll","1524-06-25","1526-02-17"
"e736ca0d-2ffd-4b43-afe6-f5b5235bd3ac","Heinrich Fragner","1506-07-06","1506-07-06"
"e8f49294-e50b-49e5-b6ad-10d3740f5bb8","Hektor Pömer","1520-06-10","1520-06-10"
"e920361f-d0bb-4f0b-b867-09aed65291df","Martin Bucer","1530-10-01","1530-10-01"
"e9547fa6-3112-4798-93d5-565ccf67879c","Johannes Stabius","1517-11-14","1517-12-31"
"e95ff20b-131d-4dce-923b-7390c9f651b6","Pfalzgraf Friedrich","1530-02-22","1530-02-22"
"e9bb1ec7-084a-48e8-8cf5-cfc7b3b9fab1","Johannes Lange","1519-12-21","1519-12-21"
"ea0b8e81-a6a3-42a5-aad8-a4ed3d9a330c","Petrus Savorgnanus","1524-05-30","1524-12-27"
"ee0b9f7f-ca68-4bc1-ab2a-ba5f9b7e4146","Endres Tucher","1513-08-01","1513-12-25"
"effbd488-a276-402f-8e00-e393de43b21d","Bernardina","1495-09-14","1495-09-14"
"f03a5273-d215-481c-86bf-ae3a10669a70","Friedrich Reyffsteck","1524-08-31","1524-08-31"
"f37a3a4a-741c-4217-962d-f3b69d5c313b","Theobald Billicanus","1526-03-18","1526-03-18"
"f43771d1-4d22-4e25-aafe-602412d1f7d8","Elisabeth Diethay","1506-03-12","1506-03-12"
"f4660d85-8dc1-46cf-8c7c-3a3c3f2bf8ab","Johannes Hessus","1517-12-29","1530-10-13"
"f615a3d3-6c27-4878-b81a-5f62d6afa603","Martin Truchseß","1509-07-23","1509-07-23"
"f87028f6-ec59-4b77-91a4-d77a38492dbc","Karl von Miltitz","1519-02-03","1521-01-01"
"fbc16689-28a3-4d20-9cbe-6afaafb2ac94","Jakob Locher Philomusus","1510-05-10","1510-05-10"
"fe1d7b69-3bd3-401b-ab8b-9faa1585181b","Sebastian Haller","NULL","NULL"
"ffc890a2-0cd5-466a-a62a-51f98106444a","C. Fuchs","1507-02-12","1507-02-12"
