"correspondents_id","NoEPPfromEra","NoEPPtoEra"
"tusanus_jacobus_viaf_221293349","4","1"
"ofhuys_gabriël_viaf_unknown","1","NULL"
"wichmans_peter_viaf_unknown","1","1"
"wiele_adriaan_viaf_291687111","NULL","1"
"brodarics_istván_viaf_64438742","1","NULL"
"babham_john_viaf_unknown","NULL","1"
"bedyll_thomas_viaf_unknown","4","3"
"boleyn_thomas_viaf_28246375","3","1"
"burbank_william_viaf_unknown","1","NULL"
"dancaster_william_viaf_unknown","1","NULL"
"fisher_christopher_viaf_unknown","1","NULL"
"fisher_robert_viaf_unknown","3","NULL"
"grey_thomas_viaf_unknown","6","1"
"guildford_henry_viaf_160149629","2","NULL"
"latimer_william_viaf_unknown","2","1"
"lee_edward_viaf_40182081","2","2"
"sampson_richard_viaf_44650591","1","1"
"smith_john_viaf_unknown","1","NULL"
"sparcheford_richard_viaf_unknown","2","1"
"tate_william_viaf_unknown","NULL","1"
"thale_william_viaf_unknown","1","NULL"
"toneys_robert_viaf_36728303","1","NULL"
"walkden_humprey_viaf_unknown","1","NULL"
"watson_john_viaf_unknown","1","2"
"wentford_roger_viaf_unknown","5","NULL"
"wingfield_richard_viaf_unknown","1","NULL"
"yonge_john_viaf_194704149","1","NULL"
"albon_antoine_de_viaf_304010662","2","NULL"
"armagnac_georges_de_viaf_59219003","1","NULL"
"bercin_antoine_viaf_unknown","1","1"
"croy_guillaume_de_viaf_203311375","3","1"
"croy_philippe_de_viaf_62704426","NULL","1"
"demoulins_françois_viaf_172203114","5","1"
"illiers_rené_de_viaf_unknown","1","NULL"
"morillon_guido_viaf_39363518","2","4"
"mornieu_pierre_de_viaf_unknown","4","NULL"
"plaine_gérard_de_viaf_unknown","1","NULL"
"ponchier_étienne_viaf_233493311","2","NULL"
"rabelais_françois_viaf_24606939","NULL","1"
"ruzé_louis_viaf_306487693","1","1"
"vitré_pierre_viaf_unknown","4","3"
"cammingha_haio_viaf_unknown","1","2"
"affenstein_ wolfgang_von_viaf_231943211","NULL","1"
"anshelm_thomas_viaf_100386946","1","NULL"
"eschenfelder_christoph_viaf_15584505","3","2"
"furster_valentin_viaf_unknown","1","NULL"
"gumppenberg_ambrosius_von_viaf_27866230","2","4"
"hörmann_johann_georg_viaf_52890047","NULL","2"
"isenburg_wilhelm_von_viaf_23276289","1","NULL"
"löble_johann_viaf_86024015","NULL","2"
"mosham_ruprecht_von_viaf_20551741","1","1"
"neuenar_hermann_graf_von_viaf_18164526","7","3"
"pistorius_christopherus_viaf_unknown","NULL","1"
"pistor_matthias_viaf_unknown","NULL","1"
"rebhan_leonhard_viaf_unknown","1","NULL"
"saarburg_matthias_von_viaf_unknown","1","NULL"
"trautmannsdorf_andreas_von_viaf_uncertain","NULL","1"
"truchsess_von_waldburg_zu_trauchburg_christoph_viaf_230372349","2","1"
"wied_hermann_von_viaf_71607602","1","1"
"zobel_von_giebelstadt_theoderich_viaf_unknown","NULL","1"
"pace_richard_viaf_62360861","14","3"
"sagundino_niccolò_viaf_unknown","NULL","1"
"scarpinelli_agostino_viaf_unknown","2","NULL"
