"recipient_id","Number of letters sent from Erasmus to this correspondent"
"cammingha_haio_viaf_unknown","1"
"theoderici_vincentius_viaf_unknown","1"
"parra_juan_de_la_viaf_unknown","1"
"boerio_giovanni_viaf_unknown","1"
"bibaucus_guilielmus_viaf_74763357","1"
"yonge_john_viaf_194704149","1"
"canta_jacobo_viaf_unknown","1"
"keysere_robert_de_viaf_54247831","1"
"egli_fridolin_viaf_unknown","1"
"zurich_town_council_of_viaf_not_applicable","1"
"greverade_adolf_viaf_unknown","1"
"meyner_matthias_viaf_unknown","1"
"klett_lukas_viaf_unknown","1"
"aleandro_girolamo_viaf_17319843","1"
"richardot_pierre_viaf_unknown","1"
"denny_nuns_of_viaf_not_applicable","1"
"manius_petrus_viaf_unknown","1"
"lalemand_jean_viaf_unknown","1"
"merbelius_petrus_viaf_unknown","1"
"obrecht_jan_viaf_unknown","1"
"giese_tiedemann_viaf_32819965","1"
"ritius_hieronymus_viaf_2869186","1"
"harst_karl_viaf_81360435","1"
"schalbe_kaspar_viaf_uncertain","1"
"fevynus_johannes_viaf_305828704","1"
"wattenwyl_niklaus_von_viaf_100404663","1"
"hoxwier_hector_van_viaf_unknown","1"
"mazzolini_silvestro_da_prierio_viaf_4903823","1"
"tittelmans_franciscus_viaf_27074875","1"
"goethals_liévin_viaf_62363145","1"
"canossa_lodovico_viaf_20611230","1"
"gachi_jean_viaf_unknown","1"
"merleberge_jan_vab_viaf_unknown","1"
"schetz_gaspar_viaf_77246028","1"
"fernández_de_madrid_alonso_viaf_88700304","1"
"peutinger_konrad_viaf_56776766","1"
"croke_richard_viaf_67250364","1"
"thurzó_alexius_viaf_81112974","1"
"francesco_ii_sforza_duke_of_milan_viaf_32110035","1"
"riedt_johannes_von_viaf_307306719","1"
"flandern_louis_de_viaf_57769275","1"
"malaise_nicolas_de_viaf_309895453","1"
"buscoducensis_nicolas_viaf_167110308","1"
"boner_seweryn_viaf_23296558","1"
"johann_der_beständige_elector_of_saxony_viaf_37263134","1"
"gratius_ortwin_viaf_100274693","1"
"an_unsuccessful_candidate_for_the_latin_chair_viaf_unknown","1"
"anshelm_thomas_viaf_100386946","1"
"lambelin_jean_viaf_unknown","1"
"grunnius_lambertus_viaf_33092660","1"
"silvius_andreas_viaf_20500070","1"
"łaski_jan_(1)_viaf_54138660","1"
"haer_jan_dirksz_van_der_viaf_unknown","1"
"martinus_[corpus_era]_viaf_unknown","1"
"paul_iii_pope_viaf_51803934","1"
"davidts_maarten_viaf_unknown","1"
"rosinus_johannes_viaf_37991609","1"
"leone_ambrogio_viaf_27223230","1"
"desprez_etienne_viaf_unknown","1"
"guillard_louis_viaf_172190973","1"
"komerstadt_georg_von_viaf_32781601","1"
"franciscans_viaf_not_applicable","1"
"nicola_felipe_viaf_unknown","1"
"gerard_pieter_viaf_unknown","1"
"ziegler_jakob_viaf_15074694","1"
"isenburg_wilhelm_von_viaf_23276289","1"
"agricola_johann_viaf_72187518","1"
"charles_iii_duke_of_savoy_viaf_41706196","1"
"brugnard_antoine_viaf_unknown","1"
"sampson_richard_viaf_44650591","1"
"martens_joachim_viaf_unknown","1"
"boskovice_arkleb_of_viaf_unknown","1"
"hatten_maternus_viaf_unknown","1"
"brodarics_istván_viaf_64438742","1"
"guibé_robert_viaf_44450742","1"
"lauwereyns_joost_viaf_unknown","1"
"caduceator_henricus_viaf_unknown","1"
"evangelista_[corpus_era]_viaf_unknown","1"
"rupilius_franciscus_viaf_uncertain","1"
"burbank_william_viaf_unknown","1"
"bijl_jan_viaf_unknown","1"
"eustachius_andreas_viaf_unknown","1"
"torresanus_andreas_de_asula_viaf_29587053","1"
"nicasius_[corpus_era]_viaf_unknown","1"
"hornes_maximilien_de_viaf_20840615","1"
"theoderici_jacobus_viaf_unknown","1"
"könneritz_andreas_von_viaf_80525464","1"
"oem_van_wijngaarden_viaf_unknown","1"
"neve_jan_de_viaf_unknown","1"
"a_physician_viaf_unknown","1"
"vianden_melchior_matthaei_of_viaf_unknown","1"
"chapuys_eustache_viaf_229692087","1"
"platz_ludwig_viaf_unknown","1"
"toneys_robert_viaf_36728303","1"
"viromandus_hieronymus_viaf_unknown","1"
"villinger_jakob_viaf_42669581","1"
"franck_sebastian_viaf_46842654","1"
"ludovicus_[corpus_era_ep_790]_viaf_unknown","1"
"cornelis_of_bergen_viaf_unknown","1"
"kmita_piotr_viaf_77411316","1"
"le_clerc_nicolas_viaf_unknown","1"
"rhodus_stegrius_viaf_unknown","1"
"steuco_agostino_viaf_59880366","1"
"saarburg_matthias_von_viaf_unknown","1"
"coppin_nicolas_viaf_unknown","1"
"rebhan_leonhard_viaf_unknown","1"
"tayspil_daniël_viaf_unknown","1"
"herwagen_johann_viaf_84180756","1"
"carlowitz_christoph_von_viaf_23195303","1"
"glapion_jean_viaf_308204333","1"
"winckele_jan_van_viaf_unknown","1"
"cologne_nuns_of_viaf_not_applicable","1"
"eichholz_adolf_viaf_unknown","1"
"paracelsus_viaf_12313247","1"
