"Id","letter_no_in_edition","Source","sender_inferred","sender_uncertain","Target","recipient_inferred","recipient_uncertain","Label","send_date_year1","send_date_computable1","send_date_has_range","send_date_year2","send_date_computable2","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x"
"era_cwe_303","303 [CWE] // 303 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","303 From Udalricus Zasius Freiburg im Breisgau, 7 September 1514 [CWE]","1514","1514-09-07","0","1514","1514-09-07","0","0","0","freiburg_DE_gid_2925177","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_306","306 [CWE] // 306 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","306 From Udalricus Zasius Freiburg im Breisgau, 21 September 1514 [CWE]","1514","1514-09-21","0","1514","1514-09-21","0","0","0","freiburg_DE_gid_2925177","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_310","310 [CWE] // 310 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","310 From Udalricus Zasius Freiburg im Breisgau, 11 October [1514] [CWE]","1514","1514-10-11","0","1514","1514-10-11","1","0","0","freiburg_DE_gid_2925177","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_317","317 [CWE] // 317 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","317 From Udalricus Zasius Freiburg im Breisgau, 7 November 1514 [CWE]","1514","1514-11-07","0","1514","1514-11-07","0","0","0","freiburg_DE_gid_2925177","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_319","319 [CWE] // 319 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","319 From Udalricus Zasius Freiburg im Breisgau, 22 December 1514 [CWE]","1514","1514-12-22","0","1514","1514-12-22","0","0","0","freiburg_DE_gid_2925177","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_344","344 [CWE] // 344 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","344 From Udalricus Zasius Freiburg im Breisgau, 9 August 1515 [CWE]","1515","1515-08-09","0","1515","1515-08-09","0","0","0","freiburg_DE_gid_2925177","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_357","357 [CWE] // 357 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","357 From Udalricus Zasius Freiburg im Breisgau, 21 September [1515] [CWE]","1515","1515-09-21","0","1515","1515-09-21","1","0","0","freiburg_DE_gid_2925177","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_367","367 [CWE] // 367 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","367 From Udalricus Zasius Freiburg im Breisgau, 30 October 1515 [CWE]","1515","1515-10-30","0","1515","1515-10-30","0","0","0","freiburg_DE_gid_2925177","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_376","376 [CWE] // 376 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","376 From Udalricus Zasius Freiburg im Breisgau, 16 December 1515 [CWE]","1515","1515-12-16","0","1515","1515-12-16","0","0","0","freiburg_DE_gid_2925177","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_380","380 [CWE] // 380 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","380 From Udalricus Zasius [Freiburg im Breisgau], 26 December 1515 [CWE]","1515","1515-12-26","0","1515","1515-12-26","0","0","0","freiburg_DE_gid_2925177","1","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_390","390 [CWE] // 390 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","390 From Udalricus Zasius Freiburg im Breisgau, 20 February [CWE]","1516","1516-02-20","0","1516","1516-02-20","0","0","0","freiburg_DE_gid_2925177","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_406","406 [CWE] // 406 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","406 From Udalricus Zasius Freiburg im Breisgau, 9 May 1516 [CWE]","1516","1516-05-09","0","1516","1516-05-09","0","0","0","freiburg_DE_gid_2925177","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_857","857 [CWE] // 857 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","857 From Udalricus Zasius Freiburg, 13 August 1518 [CWE]","1518","1518-08-13","0","1518","1518-08-13","0","0","0","freiburg_DE_gid_2925177","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_allen_2659","2659 [ALLEN]","763f4d64-dffb-40eb-bc45-2fde4992223e","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","2659 From Thomas More, Chelsea, 14 June 1532 [ALLEN]","1532","1532-06-14","0","1532","1532-06-14","0","0","0","chelsea_GB_gid_2653265","0","0","freiburg_DE_gid_2925177","1","0","latin","familiar letter","letter_1_to_1"
"era_allen_2831","2831 [ALLEN]","763f4d64-dffb-40eb-bc45-2fde4992223e","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","2831 From Thomas More, Chelsea, <June 1533> [ALLEN]","1533","1533-06-01","1","1533","1533-06-30","1","0","0","chelsea_GB_gid_2653265","0","0","freiburg_DE_gid_2925177","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1087","1087 [CWE] // 1087 [ALLEN]","763f4d64-dffb-40eb-bc45-2fde4992223e","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","1087 From Thomas More [Greenwich? March-April 1520] [CWE]","1520","1520-03-01","1","1520","1520-04-30","1","0","0","greenwich_GB_gid_2647937","1","1","leuven_BE_gid_2792482","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1090","1090 [CWE] // 1090 [ALLEN]","763f4d64-dffb-40eb-bc45-2fde4992223e","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","1090 From Thomas More [Greenwich? end of February-April 1520] [CWE]","1520","1520-02-20","1","1520","1520-04-30","1","0","0","greenwich_GB_gid_2647937","1","1","leuven_BE_gid_2792482","1","0","latin","familiar letter","letter_1_to_1"
