"ModernState","Year","NoEppSentFromEra","NoEppSentToEra"
"Slovakia","1505","NULL","NULL"
"Netherlands","NULL","NULL","NULL"
"Switzerland","NULL","NULL","NULL"
"Czech Republic","NULL","NULL","NULL"
"Germany","NULL","NULL","NULL"
"Spain","NULL","NULL","NULL"
"Poland","NULL","NULL","NULL"
"United Kingdom","NULL","NULL","NULL"
"Austria","NULL","NULL","NULL"
"France","NULL","NULL","NULL"
"Italy","NULL","NULL","NULL"
"Unknown","NULL","NULL","NULL"
"Belgium","NULL","NULL","NULL"
"Hungary","NULL","NULL","NULL"
"Portugal","NULL","NULL","NULL"
"Slovakia","NULL","NULL","NULL"
"Netherlands","1506","6","NULL"
"Switzerland","1506","NULL","NULL"
"Czech Republic","1506","NULL","NULL"
"Germany","1506","NULL","NULL"
"Spain","1506","NULL","NULL"
"Poland","1506","NULL","NULL"
"United Kingdom","1506","9","NULL"
"Austria","1506","NULL","NULL"
"France","1506","1","NULL"
"Italy","1506","NULL","1"
"Unknown","1506","NULL","NULL"
"Belgium","1506","2","NULL"
"Hungary","1506","NULL","NULL"
"Portugal","1506","NULL","NULL"
"Slovakia","1506","NULL","NULL"
"Netherlands","1528","2","NULL"
"Switzerland","1528","3","2"
"Czech Republic","1528","3","1"
"Germany","1528","23","12"
"Spain","1528","11","2"
"Poland","1528","6","4"
"United Kingdom","1528","6","4"
"Austria","1528","NULL","NULL"
"France","1528","26","11"
"Italy","1528","3","NULL"
"Unknown","1528","3","NULL"
"Belgium","1528","17","15"
"Hungary","1528","NULL","2"
"Portugal","1528","NULL","NULL"
"Slovakia","1528","NULL","NULL"
"Netherlands","1507","NULL","NULL"
"Switzerland","1507","NULL","NULL"
"Czech Republic","1507","NULL","NULL"
"Germany","1507","NULL","NULL"
"Spain","1507","NULL","NULL"
"Poland","1507","NULL","NULL"
"United Kingdom","1507","1","1"
"Austria","1507","NULL","NULL"
"France","1507","NULL","NULL"
"Italy","1507","2","NULL"
"Unknown","1507","NULL","NULL"
"Belgium","1507","NULL","NULL"
"Hungary","1507","NULL","NULL"
"Portugal","1507","NULL","NULL"
"Slovakia","1507","NULL","NULL"
"Netherlands","1529","1","NULL"
"Switzerland","1529","23","9"
"Czech Republic","1529","NULL","1"
"Germany","1529","26","18"
"Spain","1529","7","4"
"Poland","1529","8","NULL"
"United Kingdom","1529","2","6"
"Austria","1529","3","2"
"France","1529","18","9"
"Italy","1529","5","3"
"Unknown","1529","1","NULL"
"Belgium","1529","4","10"
"Hungary","1529","1","NULL"
"Portugal","1529","NULL","NULL"
"Slovakia","1529","NULL","NULL"
"Netherlands","1508","NULL","NULL"
"Switzerland","1508","NULL","NULL"
"Czech Republic","1508","NULL","NULL"
"Germany","1508","NULL","NULL"
"Spain","1508","NULL","NULL"
"Poland","1508","NULL","NULL"
"United Kingdom","1508","1","NULL"
"Austria","1508","NULL","NULL"
"France","1508","NULL","NULL"
"Italy","1508","2","1"
"Unknown","1508","NULL","NULL"
"Belgium","1508","NULL","NULL"
"Hungary","1508","NULL","NULL"
"Portugal","1508","NULL","NULL"
"Slovakia","1508","NULL","NULL"
"Netherlands","1509","NULL","NULL"
"Switzerland","1509","NULL","NULL"
"Czech Republic","1509","NULL","NULL"
"Germany","1509","NULL","NULL"
"Spain","1509","NULL","NULL"
"Poland","1509","NULL","NULL"
"United Kingdom","1509","NULL","2"
"Austria","1509","NULL","NULL"
"France","1509","NULL","NULL"
"Italy","1509","NULL","2"
"Unknown","1509","NULL","NULL"
"Belgium","1509","NULL","NULL"
"Hungary","1509","NULL","NULL"
"Portugal","1509","NULL","NULL"
"Slovakia","1509","NULL","NULL"
"Netherlands","1511","NULL","NULL"
"Switzerland","1511","NULL","NULL"
"Czech Republic","1511","NULL","NULL"
"Germany","1511","NULL","NULL"
"Spain","1511","NULL","NULL"
"Poland","1511","NULL","NULL"
"United Kingdom","1511","20","11"
"Austria","1511","NULL","NULL"
"France","1511","NULL","1"
"Italy","1511","NULL","3"
"Unknown","1511","NULL","NULL"
"Belgium","1511","NULL","1"
"Hungary","1511","NULL","NULL"
"Portugal","1511","NULL","NULL"
"Slovakia","1511","NULL","NULL"
"Netherlands","1512","NULL","NULL"
"Switzerland","1512","NULL","NULL"
"Czech Republic","1512","NULL","NULL"
"Germany","1512","NULL","NULL"
"Spain","1512","NULL","NULL"
"Poland","1512","NULL","NULL"
"United Kingdom","1512","5","2"
"Austria","1512","NULL","NULL"
"France","1512","2","2"
"Italy","1512","2","1"
"Unknown","1512","NULL","NULL"
"Belgium","1512","2","NULL"
