"correspondents_id","type","gender","viaf_id","name_in_edition","known_name_variations","known_name_variations_ref","pob_loc_id","pob_loc_annotation","pob_loc_annotation_ref","dob_year1","dob_month1","dob_day1","dob_computable1","dob_has_range","dob_year2","dob_month2","dob_day2","dob_computable2","dob_annotion","dob_annotion_ref","pod_loc_id","pod_loc_annotation","pod_loc_annotation_ref","dod_year1","dod_month1","dod_day1","dod_computable1","dod_has_range","dod_year2","dod_month2","dod_day2","dod_computable2","dod_annotion","dod_annotion_ref","further_annotation"
"fettich_theobald_viaf_39718269","individual","male","39718269","Theobald FETTICH [COE] // Theobald Fettich [CWE] // Fettich, Theobald [ALLEN]","Fettichius","COE II, 25-26","kaiserslautern_DE_gid_2894003","Kaiserslautern","COE II, 25-26","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 25-26","unknown_location_XX_gid_unknown","Unknown","COE II, 25-26","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 25-26","NULL"
"franciscans_viaf_not_applicable","corporate body","NULL","not applicable","[Franciscans] [COE] // Franciscans [CWE] // Franciscans [ALLEN]","NULL","NULL","unknown_location_XX_gid_unknown","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"francis_john_viaf_unknown","individual","male","unknown","John FRANCIS [COE] // John Francis [CWE] // Francis, John [ALLEN]","Franciscus","COE II, 53","unknown_location_XX_gid_unknown","Unknown","COE II, 53","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 53","unknown_location_XX_gid_unknown","Unknown","COE II, 53","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 53","NULL"
"furster_valentin_viaf_unknown","individual","male","unknown","Valentin FURSTER [COE] // Valentin Furster [CWE] // Furster, Valentin [ALLEN]","NULL","NULL","unknown_location_in_germany_DE_gid_unknown","Unknown","COE II, 68","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 68","kassel_DE_gid_2892518","prob. Kassel","COE II, 68","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 68","NULL"
"gachi_jean_viaf_unknown","individual","male","unknown","Jean GACHI [COE] // Jean Gachi [CWE] // Gacy, Jean [ALLEN]","Gacy // Gacchus // Gatty // Gathy","COE II, 68-69","cluses_FR_gid_3024532","prob. Cluses, Haute-Savoie","COE II, 68-69","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 68-69","unknown_location_XX_gid_unknown","Unknown","COE II, 68-69","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 68-69","NULL"
"gerard_of_friesland_viaf_unknown","individual","male","unknown","GERARD of Friesland [COE] // Gerard of Friesland [CWE] // Gerardus Phrysius (unidentified) [ALLEN]","Gerardus Phrysius minor","COE II, 87","unknown_location_XX_gid_unknown","Unknown","COE II, 87","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 87","unknown_location_XX_gid_unknown","Unknown","COE II, 87","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 87","NULL"
"gerard_of_kloster_viaf_unknown","individual","male","unknown","GERARD of Kloster [COE] // Gerard of Kloster [CWE] // Kloster, Gerard of [ALLEN]","NULL","NULL","kloster_DE_gid_2887561","Kloster, near Wittmund","COE II, 87-88","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 87-88","unknown_location_XX_gid_unknown","Unknown","COE II, 87-88","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 87-88","NULL"
"gerard_pieter_viaf_unknown","individual","male","unknown","Pieter GERARD [COE] // Pieter Gerard [CWE] // Gerard, Peter [ALLEN]","NULL","COE I, 441-442","unknown_location_in_the_netherlands_NL_gid_unknown","Unknown","COE I, 441-442","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 441-442","s_gravenzande_NL_gid_2747364","prob. Gravenzande (in South Holland)","COE I, 441-442","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 441-442","NULL"
"gering_christoph_viaf_unknown","individual","male","unknown","Christoph GERING [COE] // Christoph Gering [CWE] // Gering, Christoph [ALLEN]","NULL","NULL","augsburg_DE_gid_2954172","Augsburg","COE II, 91","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 91","unknown_location_XX_gid_unknown","Unknown","COE II, 91-92","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 91-92","NULL"
"gravius_bernardus_viaf_unknown","individual","male","unknown","Bernardus GRAVIUS [COE] // Bernardus Gravius [CWE] // Gravius, Bernardus [ALLEN]","NULL","NULL","köln_DE_gid_2886242","prob. Cologne","COE II, 125","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 125","unknown_location_XX_gid_unknown","Unknown","COE II, 125","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 125","NULL"
"gravius_tielmannus_viaf_unknown","individual","male","unknown","Tielmannus GRAVIUS [COE] // Tielmannus Gravius [CWE] // Gravius, Tielmann (a Fossa) [ALLEN]","a Fossa // Grave // von Graben","COE II, 125-126","köln_DE_gid_2886242","[Köln:CK]","COE II, 125-126","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 125-126","köln_DE_gid_2886242","prob. Cologne","COE II, 125-126","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 125-126","NULL"
"grey_thomas_viaf_unknown","individual","male","unknown","Thomas GREY [COE] // Thomas Grey [CWE] // Grey, Thomas [ALLEN]","Greyus // Leucophaeus","COE II, 129-130","unknown_location_in_england_GB_gid_unknown","Unknown","COE II, 129-130","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 129-130","unknown_location_XX_gid_unknown","Unknown","COE II, 129-130","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 129-130","NULL"
"grunnius_lambertus_viaf_33092660","individual","male","33092660","Lambertus GRUNNIUS [COE] // Lambertus Grunnius [CWE] // Grunnius, Lambertus [ALLEN]","COE: name is probably fictitious","COE II, 140-141","unknown_location_XX_gid_unknown","Unknown","COE II, 140-141","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 140-141","unknown_location_XX_gid_unknown","Unknown","COE II, 140-141","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 140-141","NULL"
