"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2"
"brassicanus_joannes_alexander_viaf_9899294","individual","male","Johannes Alexander BRASSICANUS [COE] // Johannes Alexander Brassicanus [CWE] // Brassicanus, Joannes Alexander [ALLEN]","tübingen_DE_gid_2820860","Tübingen","1500","1500-01-01","1","1500","1500-12-31","vienna_AT_gid_2761369","Wien","1539","1539-11-27","0","1539"
"mosham_ruprecht_von_viaf_20551741","individual","male","Rudbert von MOSHAM [COE] // Rudbert von Mosham [CWE] // Mosham, Rudbert of (Moshain) [ALLEN]","unknown_location_in_germany_DE_gid_unknown","Unknown","1493","1493-09-24","0","1493","1493-09-24","unknown_location_in_germany_DE_gid_unknown","Unknown, in a prison in Brandenburg","1543","1543-01-01","1","1543"
"neuenar_hermann_graf_von_viaf_18164526","individual","male","Hermann von NEUENAHR [COE] // Hermann, Graf von Neu / Hermann von Neuenahr [CWE] // Neuenahr, Hermann Count of (Neaetius, de Nova Aquila, Nuenarius) [ALLEN]","unknown_location_in_germany_DE_gid_unknown","Unknown","1492","1492-01-01","1","1492","1492-12-31","augsburg_DE_gid_2954172","Augsburg","1530","1530-10-30","0","1530"
"adrian_vi_ pope_ viaf_76430137","individual","male","Pope ADRIAN VI [COE] // Adrian VI [CWE] // Adrian VI, Pope (Adrian of Utrecht) [ALLEN]","utrecht_NL_gid_2745912","Utrecht","1454","1454-03-02","0","1545","1454-03-02","rome_IT_gid_3169070","Rome","1523","1523-09-14","0","1523"
"egnazio_giovanni_battista_viaf_100187526","individual","male","Giambattista EGNAZIO [COE] // Giambattista Egnazio [CWE] // Egnatius, Johannes Baptista [ALLEN]","venice_IT_gid_3164603","Venice","1478","1478-01-01","1","1478","1478-12-31","unknown_location_XX_gid_unknown","Unknown","1553","1553-07-04","0","1553"
"nausea_friedrich_viaf_248203874","individual","male","Fridericus NAUSEA [COE] // Fridericus Nausea [CWE] // Nausea, Fridericus [ALLEN]","waischenfeld_DE_gid_2815297","Waischenfeld","1496","1496-01-01","1","1496","1496-12-31","trento_IT_gid_3165243","Trent","1552","1552-02-06","0","1552"
"balthasar_konstanz_bischof_viaf_42723378","individual","male","Balthasar MERKLIN [COE] // Balthasar Merklin [CWE] // Mercklin, Balthasar [ALLEN]","waldkirch_DE_gid_2814883","Waldkirch, near Freiburg","1479","1479-01-01","1","1479","1479-12-31","trier_DE_gid_2821164","Trier","1531","1531-05-28","0","1531"
"emser_hieronymus_viaf_19702295","individual","male","Hieronymus EMSER [COE] // Hieronymus Emser [CWE] // Emser, Hieronymus [ALLEN]","weidenstetten_DE_gid_2812958","Weidenstetten bei Ulm","1479","1479-03-28","0","1479","1479-03-28","dresden_DE_gid_2935022","Dresden","1527","1527-12-08","0","1527"
"oecolampadius_johann_viaf_56634092","individual","male","Johannes OECOLAMPADIUS [COE] // Johannes Oecolampadius [CWE] // Oecolampadius, Joannes (John Hussgen) [ALLEN]","weinsberg_DE_gid_2812158","Weinsberg","1482","1482-01-01","1","1482","1482-12-31","basel_CH_gid_2661604","Basel","1531","1531-11-22","1","1531"
"cochlæus_johannes_viaf_121589726","individual","male","Johannes COCHLAEUS [COE] // Johannes Cochlaeus [CWE] // Cochlaeus, Joannes (Dobneck) [ALLEN]","wendelstein_DE_gid_2811292","Wendelstein bei Schwabach/Mittelfranken","1479","1479-01-01","1","1479","1479-12-31","wrocław_PL_gid_3081368","Breslau","1552","1552-01-10","0","1552"
"zwingli_ulrich_viaf_71399367","individual","male","Huldrych ZWINGLI [COE] // Huldrych Zwingli [CWE] // Zwingli, Ulrich [ALLEN]","wildhaus_CH_gid_2657988","Wildhaus - St Gallen - Switzerland","1484","1484-01-01","0","1484","1484-01-01","kappel_CH_gid_2660189","Kappel am Albis","1531","1531-10-11","0","1531"
