"send_date_computable1","NoEppSentFromEra"
"1511-11-11","1"
"1530-10-26","1"
"1530-10-30","1"
"1530-11-12","1"
"1511-11-01","1"
"1530-11-27","1"
"1530-11-20","1"
"1530-12-15","1"
"1530-12-22","3"
"1531-01-02","1"
"1531-01-30","3"
"1531-02-06","1"
"1531-02-07","1"
"1531-02-21","2"
"1531-02-26","1"
"1531-02-27","1"
"1531-02-01","1"
"1531-03-01","2"
"1531-03-05","1"
"1531-03-06","2"
"1531-03-07","1"
"1531-03-09","1"
"1531-03-11","1"
"1531-03-12","1"
"1531-03-13","3"
"1511-11-26","1"
"1531-03-14","2"
"1531-03-15","3"
"1531-03-16","1"
"1531-03-17","2"
"1531-03-18","3"
"1511-11-27","1"
"1531-03-21","1"
"1531-03-25","1"
"1531-03-26","1"
"1531-03-27","1"
"1531-03-28","1"
"1531-03-30","1"
"1531-03-31","1"
"1531-03-20","1"
"1531-04-01","1"
"1531-04-02","1"
"1531-04-04","1"
"1531-04-06","2"
"1511-12-02","1"
"1531-04-11","1"
"1531-04-12","1"
"1531-04-13","1"
"1531-04-14","1"
"1531-04-16","2"
"1531-04-18","1"
"1531-04-20","1"
"1531-04-21","1"
"1531-05-15","1"
"1531-05-17","1"
"1531-06-07","1"
"1511-12-09","1"
"1531-06-08","1"
"1531-06-11","1"
"1531-06-26","1"
"1531-06-20","1"
"1531-07-17","1"
"1531-07-26","1"
"1531-08-05","1"
"1531-08-07","1"
"1531-08-09","1"
"1531-08-11","1"
"1512-02-06","1"
"1531-08-20","1"
"1531-08-21","1"
"1531-08-22","1"
"1531-08-25","1"
"1531-08-29","2"
"1512-02-08","2"
"1531-08-30","1"
"1531-06-01","1"
"1531-08-01","1"
"1531-09-01","3"
"1531-09-04","1"
"1531-09-06","1"
"1531-09-17","1"
"1531-09-19","2"
"1531-09-15","1"
"1531-09-21","1"
"1512-02-19","1"
"1531-10-09","1"
"1531-10-11","1"
"1531-10-24","1"
"1531-11-07","1"
"1531-11-19","1"
"1531-11-29","2"
"1531-11-30","1"
"1531-11-20","1"
"1531-12-02","1"
"1531-12-10","1"
"1531-12-11","1"
"1531-12-12","2"
"1531-12-13","2"
"1531-12-14","1"
"1531-12-15","1"
"1532-01-25","1"
"1532-02-01","1"
"1532-01-01","2"
"1489-07-01","2"
"1512-04-29","2"
"1532-02-04","1"
"1532-02-08","2"
"1532-02-09","1"
"1532-02-13","1"
"1532-02-22","1"
"1532-02-27","1"
"1532-02-28","1"
"1532-03-02","1"
"1532-03-03","1"
"1532-03-01","4"
"1532-03-05","2"
"1512-05-09","1"
"1532-03-07","2"
"1532-03-20","1"
"1532-03-25","1"
"1512-09-01","3"
"1532-04-20","1"
"1532-04-30","1"
"1532-05-03","3"
"1532-05-07","1"
"1532-05-15","1"
"1532-05-19","1"
"1532-05-31","1"
"1532-06-17","1"
"1532-06-22","1"
"1532-07-01","5"
"1512-11-11","1"
"1532-07-04","1"
"1513-01-01","1"
"1532-07-05","3"
"1532-07-06","1"
"1532-07-08","1"
"1532-07-23","1"
"1532-07-24","1"
"1532-07-25","1"
"1532-08-02","2"
"1532-08-01","1"
"1513-07-11","1"
"1532-08-09","1"
"1532-08-16","1"
"1532-08-23","1"
"1532-08-27","2"
"1532-08-29","1"
"1532-09-01","3"
"1513-07-01","2"
"1532-09-02","1"
"1532-09-24","1"
"1532-10-01","2"
"1532-10-05","1"
"1513-09-01","1"
"1532-10-20","2"
"1532-10-26","1"
"1532-10-29","1"
"1532-10-31","1"
"1532-11-05","1"
"1513-09-26","1"
"1532-11-29","1"
"1532-12-07","1"
"1532-12-09","2"
"1532-12-27","1"
"1513-10-01","3"
"1533-01-05","1"
"1533-01-15","1"
"1533-01-25","1"
"1533-01-30","1"
"1533-02-01","1"
"1533-02-05","1"
"1533-02-07","2"
"1533-02-20","1"
"1533-02-28","2"
"1533-03-01","2"
"1533-03-08","1"
"1533-03-10","1"
"1533-03-12","1"
"1533-03-15","1"
"1513-10-31","1"
"1533-03-21","1"
"1533-03-22","1"
"1533-03-24","2"
"1533-04-10","2"
"1513-11-01","1"
"1533-04-19","2"
"1533-04-20","1"
"1533-04-21","2"
"1533-04-23","1"
"1533-04-24","1"
"1533-04-25","1"
"1533-05-03","1"
"1533-05-05","1"
"1533-05-11","1"
"1533-05-12","1"
"1513-11-26","1"
"1533-05-14","1"
"1533-06-01","2"
"1533-06-12","2"
"1513-11-28","1"
"1533-06-20","5"
"1533-06-21","1"
"1513-12-02","1"
"1514-01-04","1"
"1533-07-25","3"
"1514-01-01","1"
"1533-07-26","1"
"1533-07-31","1"
"1533-08-01","1"
"1533-08-17","1"
"1533-08-23","1"
"1533-08-28","1"
"1533-08-30","1"
"1533-08-31","1"
