"send_date_computable1","NoEppSentToEra"
"1511-09-20","1"
"1530-04-02","1"
"1530-04-04","1"
"1530-04-07","1"
"1530-04-13","2"
"1530-04-16","2"
"1530-04-20","1"
"1530-05-09","1"
"1530-05-18","1"
"1530-05-20","1"
"1530-05-23","1"
"1530-06-27","2"
"1530-06-28","2"
"1530-06-29","1"
"1530-07-01","2"
"1530-07-06","1"
"1511-10-20","1"
"1530-07-12","1"
"1530-07-14","2"
"1511-10-27","1"
"1511-11-08","1"
"1489-01-01","1"
"1511-11-11","1"
"1511-11-18","2"
"1511-11-19","1"
"1511-11-01","1"
"1511-11-28","1"
"1511-12-05","1"
"1489-07-01","1"
"1511-12-21","1"
"1512-02-20","1"
"1512-03-01","2"
"1512-04-12","1"
"1512-05-19","1"
"1513-11-25","1"
"1514-02-05","1"
"1533-10-10","1"
"1514-04-01","1"
"1514-04-19","1"
"1514-09-01","2"
"1514-09-07","1"
"1514-09-21","1"
"1514-10-04","1"
"1514-10-11","1"
"1514-10-20","1"
"1514-10-23","1"
"1514-11-01","1"
"1514-11-07","1"
"1514-12-22","1"
"1515-01-04","1"
"1515-01-20","1"
"1515-01-31","1"
"1515-04-01","1"
"1515-04-17","2"
"1493-01-01","1"
"1515-04-30","1"
"1515-05-01","2"
"1515-06-01","1"
"1515-07-10","1"
"1493-11-01","1"
"1515-07-18","1"
"1515-08-01","1"
"1515-08-08","1"
"1515-08-09","1"
"1515-08-19","1"
"1515-08-27","1"
"1515-08-31","1"
"1515-09-09","1"
"1515-09-11","1"
"1515-09-12","1"
"1515-09-15","1"
"1515-09-16","1"
"1515-09-21","1"
"1515-10-01","1"
"1515-10-19","1"
"1515-10-24","1"
"1515-10-30","2"
"1515-11-01","1"
"1515-11-22","1"
"1515-11-23","1"
"1515-11-25","1"
"1515-12-03","1"
"1515-12-13","1"
"1515-12-16","1"
"1515-12-26","1"
"1516-01-10","1"
"1516-01-15","1"
"1516-01-21","1"
"1516-02-10","1"
"1516-02-17","1"
"1516-02-18","1"
"1516-02-20","1"
"1516-02-01","1"
"1516-03-30","1"
"1516-04-05","1"
"1516-04-11","1"
"1516-04-24","1"
"1516-04-29","1"
"1516-05-01","1"
"1516-05-09","1"
"1516-05-20","1"
"1516-06-05","1"
"1516-06-17","1"
"1516-06-20","2"
"1516-06-21","1"
"1516-06-22","3"
"1516-06-26","2"
"1495-09-01","1"
"1516-06-28","1"
