"recipient_id","Number of locations this correspondent receives letters at"
"leone_ambrogio_viaf_27223230","1"
"leontius_[corpus_era]_viaf_unknown","1"
"leo_x_pope_viaf_316407579","1"
"lethmaet_herman_viaf_89176625","2"
"le_clerc_nicolas_viaf_unknown","1"
"linacre_thomas_viaf_59233331","1"
"lipsius_martin_viaf_17616612","2"
"listrius_gerardus_viaf_173705449","1"
"longland_john_viaf_65200907","2"
"longolius_christopherus_viaf_12405190","1"
"lorraine_jean_de_viaf_213357772","1"
"lotzer_johann_(1)_viaf_37256989","1"
"louvain_collegium_trilingue_viaf_not_applicable","1"
"louvain_faculty_of_theology_a_member_of_viaf_unknown","1"
"louvain_theologians_of_viaf_not_applicable","1"
"loxanus_georgius_viaf_unknown","1"
"lübeck_a_man_of_viaf_unknown","1"
"ludovicus_[corpus_era_ep_167]_viaf_unknown","1"
"ludovicus_[corpus_era_ep_790]_viaf_unknown","1"
"lupset_thomas_viaf_89034021","3"
"luther_martin_viaf_14773105","1"
"luxembourg_nicolas_de_viaf_unknown","1"
"maillard_nicolas_viaf_74209788","1"
"malaise_nicolas_de_viaf_309895453","1"
"maldonado_juan_viaf_64018172","1"
"manius_petrus_viaf_unknown","1"
"manrique_de_lara_alfonso_viaf_89177082","1"
"manuzio_aldo_viaf_96325760","1"
"marcäus_helias_viaf_81341599","1"
"marck_antoine_de_la_viaf_unknown","1"
"marck_érard_de_la_viaf_20477461","2"
"marguerite_queen_consort_of_henry_ii_king_of_navarre_viaf_89797196","1"
"maria_queen_consort_of_louis_II_king_of_bohemia_and_hungary_viaf_77119805","3"
"marius_augustinus_viaf_64816093","1"
"marliano_luigi_viaf_160695839","2"
"martens_joachim_viaf_unknown","1"
"martinus_[corpus_era]_viaf_unknown","1"
"mauch_daniel_viaf_27887955","1"
"mauritszoon_jacob_viaf_unknown","1"
"maximilian_of_transylvania_viaf_21802698","1"
"maximilien_vere_marquis_viaf_35612401","1"
"mazzolini_silvestro_da_prierio_viaf_4903823","1"
"melanchthon_philipp_viaf_76319978","3"
"merbelius_petrus_viaf_unknown","1"
"merleberge_jan_vab_viaf_unknown","1"
"metz_chapter_of_cathedral_viaf_not_applicable","1"
"mexía_cristóbal_viaf_unknown","1"
"mexía_pedro_viaf_37733377","1"
"meyner_matthias_viaf_unknown","1"
"molendino_johannes_de_viaf_unknown","1"
"mombaer_jan_viaf_56632525","1"
"montini_floriano_viaf_uncertain","1"
"morel_désiré_viaf_unknown","1"
"more_john_viaf_88670570","1"
