"target_loc_id","TargetNameModern","TargetLAT","TargetLNG","source_loc_id","SourceNameModern","SourceLAT","SourceLNG"
"st_amand_abbey_FR_gid_unknown","Saint-Amand Abbey","50.638307","2.392984","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"saint_omer_FR_gid_2977845","Saint-Omer","50.75","2.25","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"lübeck_DE_gid_2875601","Lübeck","53.86893","10.68729","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"bergen_op_zoom_NL_gid_2759145","Bergen op Zoom","51.495","4.29167","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"wesel_DE_gid_2810678","Wesel","51.6669","6.62037","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"woodstock_GB_gid_2633618","Woodstock","51.8485","-1.35132","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"butzbach_DE_gid_2940512","Butzbach","50.43395","8.67122","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"st_hubert_abbey_BE_gid_unknown","Saint-Hubert Abbey","50.026172","5.374353","leuven_BE_gid_2792482","Leuven","50.87959","4.70093"
"tournehem_sur_la_hem_FR_gid_2972235","Tournehem-sur-la-Hem","50.8","2.05","steyn_monastery_NL_gid_unknown","Steyn Monastery","52.002977","4.764632"
"tournehem_sur_la_hem_FR_gid_2972235","Tournehem-sur-la-Hem","50.8","2.05","antwerpen_BE_gid_2803138","Antwerp","51.21989","4.40346"
"winchester_GB_gid_2633858","Winchester","51.06513","-1.3187","antwerpen_BE_gid_2803138","Antwerp","51.21989","4.40346"
